student_id,aspiration,skill,required_level,current_level
S0006,Artist,Coding,99,98
S0006,Artist,Creativity,66,36
S0006,Artist,Leadership,88,49
S0006,Artist,Empathy,64,44
S0006,Artist,Communication,69,29
S0006,Doctor,Problem Solving,78,77
S0006,Doctor,Empathy,99,89
S0006,Doctor,Leadership,73,58
S0006,Doctor,Critical Thinking,82,78
S0006,Doctor,Communication,89,70
S0007,Engineer,Leadership,84,81
S0007,Engineer,Technical Skills,67,32
S0007,Engineer,Empathy,84,69
S0007,Engineer,Communication,91,83
S0007,Engineer,Teamwork,84,71
S0007,Entrepreneur,Teamwork,81,59
S0007,Entrepreneur,Technical Skills,97,87
S0007,Entrepreneur,Leadership,100,89
S0007,Entrepreneur,Problem Solving,91,63
S0007,Entrepreneur,Coding,84,68
S0007,Lawyer,Teamwork,95,75
S0007,Lawyer,Problem Solving,60,49
S0007,Lawyer,Critical Thinking,81,60
S0007,Lawyer,Research,64,51
S0007,Lawyer,Empathy,77,59
S0007,Teacher,Problem Solving,71,37
S0007,Teacher,Coding,94,80
S0007,Teacher,Leadership,96,96
S0007,Teacher,Creativity,79,49
S0007,Teacher,Teamwork,75,61
S0007,Doctor,Teamwork,65,42
S0007,Doctor,Problem Solving,90,72
S0007,Doctor,Technical Skills,97,85
S0007,Doctor,Communication,69,47
S0007,Doctor,Creativity,65,58
S0008,Artist,Problem Solving,73,69
S0008,Artist,Research,68,68
S0008,Artist,Coding,78,78
S0008,Artist,Empathy,97,77
S0008,Artist,Communication,78,63
S0008,Writer,Research,92,80
S0008,Writer,Empathy,63,30
S0008,Writer,Leadership,83,51
S0008,Writer,Creativity,63,60
S0008,Writer,Critical Thinking,66,32
S0008,Teacher,Research,97,92
S0008,Teacher,Creativity,80,75
S0008,Teacher,Teamwork,64,48
S0008,Teacher,Communication,74,47
S0008,Teacher,Empathy,90,56
S0008,Entrepreneur,Leadership,91,56
S0008,Entrepreneur,Communication,64,29
S0008,Entrepreneur,Teamwork,89,83
S0008,Entrepreneur,Empathy,62,23
S0008,Entrepreneur,Critical Thinking,85,45
S0008,Data Scientist,Coding,81,52
S0008,Data Scientist,Technical Skills,63,37
S0008,Data Scientist,Leadership,95,95
S0008,Data Scientist,Communication,69,42
S0008,Data Scientist,Teamwork,97,85
S0009,Engineer,Creativity,72,72
S0009,Engineer,Teamwork,85,83
S0009,Engineer,Technical Skills,63,52
S0009,Engineer,Communication,72,69
S0009,Engineer,Coding,71,39
S0009,Doctor,Leadership,80,72
S0009,Doctor,Technical Skills,70,52
S0009,Doctor,Coding,66,60
S0009,Doctor,Research,78,69
S0009,Doctor,Critical Thinking,61,36
S0009,Artist,Leadership,64,48
S0009,Artist,Research,80,43
S0009,Artist,Critical Thinking,96,87
S0009,Artist,Coding,61,55
S0009,Artist,Communication,85,58
S0009,Writer,Creativity,68,51
S0009,Writer,Empathy,62,60
S0009,Writer,Communication,80,66
S0009,Writer,Teamwork,97,89
S0009,Writer,Leadership,71,60
S0009,Scientist,Critical Thinking,61,55
S0009,Scientist,Technical Skills,99,97
S0009,Scientist,Leadership,64,57
S0009,Scientist,Teamwork,73,57
S0009,Scientist,Coding,94,75
S0010,Engineer,Creativity,71,48
S0010,Engineer,Empathy,71,38
S0010,Engineer,Teamwork,84,77
S0010,Engineer,Research,73,63
S0010,Engineer,Leadership,75,37
S0010,Scientist,Problem Solving,81,73
S0010,Scientist,Technical Skills,73,54
S0010,Scientist,Leadership,71,39
S0010,Scientist,Coding,85,66
S0010,Scientist,Communication,79,40
S0010,Entrepreneur,Research,97,65
S0010,Entrepreneur,Leadership,87,60
S0010,Entrepreneur,Critical Thinking,72,55
S0010,Entrepreneur,Teamwork,71,68
S0010,Entrepreneur,Communication,97,75
S0010,Artist,Creativity,90,50
S0010,Artist,Leadership,75,58
S0010,Artist,Research,96,61
S0010,Artist,Technical Skills,100,60
S0010,Artist,Coding,83,72
S0010,Writer,Empathy,65,44
S0010,Writer,Research,71,47
S0010,Writer,Creativity,85,62
S0010,Writer,Communication,81,45
S0010,Writer,Coding,64,47
S0011,Artist,Research,100,68
S0011,Artist,Leadership,63,24
S0011,Artist,Communication,86,60
S0011,Artist,Empathy,79,73
S0011,Artist,Teamwork,77,47
S0011,Engineer,Technical Skills,83,73
S0011,Engineer,Creativity,78,50
S0011,Engineer,Coding,77,52
S0011,Engineer,Research,87,67
S0011,Engineer,Problem Solving,74,53
S0011,Pilot,Creativity,96,61
S0011,Pilot,Coding,81,66
S0011,Pilot,Leadership,69,51
S0011,Pilot,Teamwork,72,48
S0011,Pilot,Technical Skills,91,54
S0011,Scientist,Communication,65,55
S0011,Scientist,Problem Solving,89,63
S0011,Scientist,Teamwork,72,32
S0011,Scientist,Empathy,95,81
S0011,Scientist,Creativity,80,63
S0011,Lawyer,Creativity,92,65
S0011,Lawyer,Problem Solving,75,39
S0011,Lawyer,Leadership,61,35
S0011,Lawyer,Coding,66,41
S0011,Lawyer,Communication,94,85
S0012,Pilot,Problem Solving,94,90
S0012,Pilot,Research,86,80
S0012,Pilot,Creativity,82,68
S0012,Pilot,Empathy,92,87
S0012,Pilot,Leadership,66,41
S0012,Lawyer,Coding,75,74
S0012,Lawyer,Creativity,91,78
S0012,Lawyer,Research,90,82
S0012,Lawyer,Critical Thinking,84,81
S0012,Lawyer,Leadership,90,80
S0012,Scientist,Critical Thinking,87,57
S0012,Scientist,Teamwork,95,94
S0012,Scientist,Problem Solving,95,87
S0012,Scientist,Research,84,67
S0012,Scientist,Leadership,96,83
S0012,Entrepreneur,Teamwork,72,35
S0012,Entrepreneur,Communication,79,51
S0012,Entrepreneur,Empathy,85,74
S0012,Entrepreneur,Coding,80,63
S0012,Entrepreneur,Creativity,69,32
S0012,Teacher,Communication,73,61
S0012,Teacher,Leadership,98,92
S0012,Teacher,Problem Solving,89,81
S0012,Teacher,Empathy,97,60
S0012,Teacher,Creativity,100,81
S0013,Doctor,Critical Thinking,76,44
S0013,Doctor,Creativity,65,58
S0013,Doctor,Leadership,71,45
S0013,Doctor,Research,84,66
S0013,Doctor,Problem Solving,96,67
S0013,Writer,Teamwork,86,51
S0013,Writer,Leadership,74,61
S0013,Writer,Research,81,67
S0013,Writer,Technical Skills,98,91
S0013,Writer,Critical Thinking,62,56
S0013,Engineer,Leadership,61,54
S0013,Engineer,Teamwork,85,70
S0013,Engineer,Communication,96,58
S0013,Engineer,Research,77,40
S0013,Engineer,Problem Solving,62,57
S0013,Scientist,Creativity,73,43
S0013,Scientist,Empathy,86,56
S0013,Scientist,Coding,73,56
S0013,Scientist,Communication,94,88
S0013,Scientist,Leadership,78,76
S0013,Pilot,Empathy,63,59
S0013,Pilot,Coding,87,56
S0013,Pilot,Problem Solving,98,85
S0013,Pilot,Critical Thinking,62,58
S0013,Pilot,Technical Skills,76,42
S0014,Artist,Teamwork,97,60
S0014,Artist,Empathy,65,64
S0014,Artist,Leadership,63,44
S0014,Artist,Critical Thinking,70,68
S0014,Artist,Communication,69,36
S0014,Lawyer,Coding,94,92
S0014,Lawyer,Leadership,64,25
S0014,Lawyer,Empathy,98,96
S0014,Lawyer,Critical Thinking,75,57
S0014,Lawyer,Creativity,69,62
S0014,Scientist,Creativity,76,67
S0014,Scientist,Problem Solving,63,50
S0014,Scientist,Technical Skills,80,68
S0014,Scientist,Communication,64,37
S0014,Scientist,Coding,63,33
S0014,Engineer,Empathy,66,53
S0014,Engineer,Teamwork,94,70
S0014,Engineer,Research,63,58
S0014,Engineer,Leadership,80,50
S0014,Engineer,Problem Solving,66,61
S0014,Entrepreneur,Research,66,29
S0014,Entrepreneur,Teamwork,79,78
S0014,Entrepreneur,Creativity,68,49
S0014,Entrepreneur,Coding,89,89
S0014,Entrepreneur,Technical Skills,70,37
S0015,Lawyer,Coding,68,34
S0015,Lawyer,Teamwork,89,49
S0015,Lawyer,Problem Solving,79,59
S0015,Lawyer,Critical Thinking,68,37
S0015,Lawyer,Leadership,64,26
S0015,Data Scientist,Creativity,83,52
S0015,Data Scientist,Leadership,84,66
S0015,Data Scientist,Research,87,75
S0015,Data Scientist,Coding,98,94
S0015,Data Scientist,Problem Solving,75,40
S0015,Pilot,Teamwork,67,43
S0015,Pilot,Critical Thinking,67,31
S0015,Pilot,Research,78,68
S0015,Pilot,Communication,75,66
S0015,Pilot,Problem Solving,67,45
S0015,Scientist,Problem Solving,65,44
S0015,Scientist,Critical Thinking,73,52
S0015,Scientist,Teamwork,63,37
S0015,Scientist,Technical Skills,98,71
S0015,Scientist,Research,71,47
S0015,Teacher,Teamwork,81,71
S0015,Teacher,Leadership,80,69
S0015,Teacher,Problem Solving,91,72
S0015,Teacher,Coding,64,64
S0015,Teacher,Communication,68,28
S0016,Artist,Technical Skills,89,52
S0016,Artist,Problem Solving,94,56
S0016,Artist,Research,99,82
S0016,Artist,Empathy,93,60
S0016,Artist,Critical Thinking,82,55
S0016,Lawyer,Leadership,83,77
S0016,Lawyer,Problem Solving,97,57
S0016,Lawyer,Creativity,81,54
S0016,Lawyer,Critical Thinking,88,66
S0016,Lawyer,Empathy,85,72
S0016,Pilot,Technical Skills,88,48
S0016,Pilot,Empathy,65,36
S0016,Pilot,Problem Solving,69,45
S0016,Pilot,Teamwork,85,77
S0016,Pilot,Leadership,83,58
S0016,Data Scientist,Technical Skills,90,89
S0016,Data Scientist,Critical Thinking,62,57
S0016,Data Scientist,Problem Solving,78,61
S0016,Data Scientist,Creativity,67,53
S0016,Data Scientist,Coding,60,36
S0016,Doctor,Coding,92,64
S0016,Doctor,Leadership,66,66
S0016,Doctor,Communication,60,20
S0016,Doctor,Research,86,60
S0016,Doctor,Critical Thinking,94,56
S0017,Data Scientist,Critical Thinking,94,85
S0017,Data Scientist,Problem Solving,60,30
S0017,Data Scientist,Teamwork,86,76
S0017,Data Scientist,Creativity,72,40
S0017,Data Scientist,Research,67,60
S0017,Writer,Technical Skills,95,86
S0017,Writer,Communication,71,60
S0017,Writer,Coding,95,86
S0017,Writer,Teamwork,78,78
S0017,Writer,Leadership,94,77
S0017,Doctor,Research,82,44
S0017,Doctor,Technical Skills,97,59
S0017,Doctor,Communication,79,77
S0017,Doctor,Problem Solving,60,43
S0017,Doctor,Teamwork,65,63
S0017,Scientist,Coding,74,51
S0017,Scientist,Problem Solving,66,59
S0017,Scientist,Research,75,53
S0017,Scientist,Empathy,61,41
S0017,Scientist,Critical Thinking,72,52
S0017,Teacher,Research,93,56
S0017,Teacher,Communication,68,68
S0017,Teacher,Coding,87,69
S0017,Teacher,Leadership,67,27
S0017,Teacher,Technical Skills,83,52
S0018,Data Scientist,Coding,61,53
S0018,Data Scientist,Critical Thinking,94,93
S0018,Data Scientist,Research,64,63
S0018,Data Scientist,Problem Solving,79,73
S0018,Data Scientist,Teamwork,99,81
S0018,Artist,Technical Skills,81,73
S0018,Artist,Creativity,92,86
S0018,Artist,Problem Solving,76,58
S0018,Artist,Critical Thinking,90,55
S0018,Artist,Research,86,57
S0018,Teacher,Problem Solving,92,57
S0018,Teacher,Communication,99,85
S0018,Teacher,Critical Thinking,61,37
S0018,Teacher,Teamwork,74,52
S0018,Teacher,Research,91,56
S0018,Scientist,Critical Thinking,67,58
S0018,Scientist,Creativity,66,52
S0018,Scientist,Research,99,71
S0018,Scientist,Problem Solving,76,61
S0018,Scientist,Leadership,85,47
S0018,Engineer,Empathy,95,75
S0018,Engineer,Critical Thinking,82,51
S0018,Engineer,Technical Skills,83,46
S0018,Engineer,Leadership,96,77
S0018,Engineer,Communication,61,27
S0019,Doctor,Problem Solving,98,71
S0019,Doctor,Communication,96,56
S0019,Doctor,Critical Thinking,63,44
S0019,Doctor,Leadership,82,73
S0019,Doctor,Creativity,93,55
S0019,Artist,Coding,63,39
S0019,Artist,Leadership,81,55
S0019,Artist,Critical Thinking,89,74
S0019,Artist,Creativity,74,46
S0019,Artist,Research,77,54
S0019,Scientist,Research,69,41
S0019,Scientist,Critical Thinking,86,81
S0019,Scientist,Teamwork,74,48
S0019,Scientist,Creativity,95,91
S0019,Scientist,Communication,79,42
S0019,Data Scientist,Coding,100,99
S0019,Data Scientist,Critical Thinking,92,75
S0019,Data Scientist,Communication,72,42
S0019,Data Scientist,Research,85,46
S0019,Data Scientist,Teamwork,99,89
S0019,Pilot,Empathy,89,58
S0019,Pilot,Leadership,71,51
S0019,Pilot,Problem Solving,60,26
S0019,Pilot,Communication,78,67
S0019,Pilot,Coding,75,66
S0020,Entrepreneur,Problem Solving,60,58
S0020,Entrepreneur,Communication,77,72
S0020,Entrepreneur,Creativity,89,81
S0020,Entrepreneur,Coding,79,72
S0020,Entrepreneur,Empathy,81,60
S0020,Scientist,Creativity,81,61
S0020,Scientist,Leadership,89,71
S0020,Scientist,Teamwork,97,96
S0020,Scientist,Communication,84,73
S0020,Scientist,Problem Solving,91,55
S0020,Engineer,Leadership,83,55
S0020,Engineer,Critical Thinking,63,48
S0020,Engineer,Communication,73,59
S0020,Engineer,Research,69,30
S0020,Engineer,Teamwork,81,43
S0020,Artist,Problem Solving,80,40
S0020,Artist,Technical Skills,94,86
S0020,Artist,Communication,93,69
S0020,Artist,Teamwork,74,72
S0020,Artist,Critical Thinking,77,76
S0020,Lawyer,Communication,99,61
S0020,Lawyer,Leadership,65,37
S0020,Lawyer,Coding,70,64
S0020,Lawyer,Teamwork,91,73
S0020,Lawyer,Technical Skills,70,32
S0021,Scientist,Communication,86,57
S0021,Scientist,Empathy,94,83
S0021,Scientist,Critical Thinking,67,45
S0021,Scientist,Coding,75,38
S0021,Scientist,Research,71,46
S0021,Lawyer,Leadership,85,71
S0021,Lawyer,Creativity,68,46
S0021,Lawyer,Research,62,49
S0021,Lawyer,Empathy,67,53
S0021,Lawyer,Critical Thinking,97,87
S0021,Data Scientist,Coding,60,49
S0021,Data Scientist,Critical Thinking,69,67
S0021,Data Scientist,Problem Solving,86,80
S0021,Data Scientist,Research,97,94
S0021,Data Scientist,Communication,66,30
S0021,Engineer,Creativity,74,43
S0021,Engineer,Empathy,98,67
S0021,Engineer,Coding,65,27
S0021,Engineer,Communication,63,63
S0021,Engineer,Problem Solving,63,62
S0021,Artist,Communication,69,58
S0021,Artist,Technical Skills,81,57
S0021,Artist,Leadership,77,46
S0021,Artist,Critical Thinking,64,32
S0021,Artist,Creativity,83,61
S0022,Artist,Empathy,97,58
S0022,Artist,Problem Solving,69,55
S0022,Artist,Critical Thinking,60,42
S0022,Artist,Technical Skills,82,69
S0022,Artist,Creativity,68,54
S0022,Writer,Teamwork,64,46
S0022,Writer,Leadership,81,57
S0022,Writer,Research,78,50
S0022,Writer,Creativity,78,63
S0022,Writer,Problem Solving,88,88
S0022,Pilot,Teamwork,99,93
S0022,Pilot,Problem Solving,65,37
S0022,Pilot,Technical Skills,91,64
S0022,Pilot,Empathy,86,59
S0022,Pilot,Research,81,78
S0022,Scientist,Technical Skills,64,56
S0022,Scientist,Communication,61,25
S0022,Scientist,Research,70,35
S0022,Scientist,Empathy,65,45
S0022,Scientist,Creativity,90,55
S0022,Entrepreneur,Critical Thinking,99,96
S0022,Entrepreneur,Leadership,69,61
S0022,Entrepreneur,Teamwork,75,71
S0022,Entrepreneur,Coding,67,42
S0022,Entrepreneur,Technical Skills,90,50
S0023,Scientist,Coding,90,50
S0023,Scientist,Research,87,74
S0023,Scientist,Critical Thinking,81,66
S0023,Scientist,Creativity,68,59
S0023,Scientist,Technical Skills,72,41
S0023,Artist,Teamwork,64,56
S0023,Artist,Coding,84,44
S0023,Artist,Technical Skills,93,75
S0023,Artist,Problem Solving,92,69
S0023,Artist,Empathy,86,72
S0023,Teacher,Research,98,79
S0023,Teacher,Teamwork,72,71
S0023,Teacher,Coding,62,61
S0023,Teacher,Communication,75,46
S0023,Teacher,Empathy,81,66
S0023,Writer,Empathy,64,51
S0023,Writer,Coding,69,53
S0023,Writer,Communication,87,65
S0023,Writer,Leadership,98,58
S0023,Writer,Teamwork,92,68
S0023,Pilot,Leadership,76,70
S0023,Pilot,Creativity,91,56
S0023,Pilot,Communication,72,41
S0023,Pilot,Coding,86,65
S0023,Pilot,Problem Solving,96,92
S0024,Writer,Technical Skills,66,49
S0024,Writer,Creativity,61,37
S0024,Writer,Communication,82,72
S0024,Writer,Critical Thinking,87,62
S0024,Writer,Leadership,78,67
S0024,Entrepreneur,Leadership,64,55
S0024,Entrepreneur,Research,91,80
S0024,Entrepreneur,Creativity,77,57
S0024,Entrepreneur,Empathy,82,68
S0024,Entrepreneur,Communication,75,44
S0024,Pilot,Technical Skills,99,69
S0024,Pilot,Leadership,86,70
S0024,Pilot,Empathy,93,65
S0024,Pilot,Coding,92,74
S0024,Pilot,Creativity,97,70
S0024,Lawyer,Communication,78,55
S0024,Lawyer,Empathy,67,66
S0024,Lawyer,Problem Solving,79,53
S0024,Lawyer,Leadership,100,92
S0024,Lawyer,Research,80,80
S0024,Teacher,Leadership,94,73
S0024,Teacher,Communication,67,58
S0024,Teacher,Empathy,63,37
S0024,Teacher,Coding,68,40
S0024,Teacher,Creativity,86,55
S0025,Lawyer,Communication,99,71
S0025,Lawyer,Creativity,97,84
S0025,Lawyer,Technical Skills,76,59
S0025,Lawyer,Research,68,64
S0025,Lawyer,Critical Thinking,68,32
S0025,Entrepreneur,Teamwork,83,83
S0025,Entrepreneur,Problem Solving,71,62
S0025,Entrepreneur,Leadership,72,54
S0025,Entrepreneur,Research,91,62
S0025,Entrepreneur,Technical Skills,95,95
S0025,Writer,Problem Solving,89,81
S0025,Writer,Technical Skills,83,76
S0025,Writer,Research,93,75
S0025,Writer,Coding,63,34
S0025,Writer,Empathy,61,48
S0025,Teacher,Creativity,88,53
S0025,Teacher,Coding,69,54
S0025,Teacher,Communication,72,44
S0025,Teacher,Critical Thinking,69,66
S0025,Teacher,Research,96,79
S0025,Doctor,Technical Skills,88,88
S0025,Doctor,Teamwork,85,73
S0025,Doctor,Leadership,86,46
S0025,Doctor,Creativity,74,66
S0025,Doctor,Research,93,66
S0026,Doctor,Creativity,69,68
S0026,Doctor,Critical Thinking,63,30
S0026,Doctor,Teamwork,78,46
S0026,Doctor,Coding,77,69
S0026,Doctor,Research,84,68
S0026,Scientist,Coding,87,59
S0026,Scientist,Creativity,96,72
S0026,Scientist,Empathy,61,29
S0026,Scientist,Leadership,70,36
S0026,Scientist,Teamwork,98,73
S0026,Pilot,Research,81,41
S0026,Pilot,Teamwork,76,38
S0026,Pilot,Creativity,78,51
S0026,Pilot,Empathy,98,90
S0026,Pilot,Critical Thinking,61,26
S0026,Teacher,Technical Skills,63,56
S0026,Teacher,Leadership,72,63
S0026,Teacher,Problem Solving,76,37
S0026,Teacher,Research,83,78
S0026,Teacher,Empathy,96,83
S0026,Data Scientist,Technical Skills,81,63
S0026,Data Scientist,Critical Thinking,85,78
S0026,Data Scientist,Coding,90,68
S0026,Data Scientist,Research,93,90
S0026,Data Scientist,Leadership,94,91
S0027,Data Scientist,Creativity,100,96
S0027,Data Scientist,Coding,63,45
S0027,Data Scientist,Critical Thinking,63,46
S0027,Data Scientist,Communication,75,71
S0027,Data Scientist,Leadership,82,57
S0027,Writer,Leadership,73,52
S0027,Writer,Coding,72,39
S0027,Writer,Technical Skills,100,94
S0027,Writer,Critical Thinking,77,45
S0027,Writer,Research,73,43
S0027,Doctor,Problem Solving,63,51
S0027,Doctor,Research,62,23
S0027,Doctor,Technical Skills,100,100
S0027,Doctor,Communication,66,41
S0027,Doctor,Empathy,93,73
S0027,Artist,Leadership,88,53
S0027,Artist,Problem Solving,76,74
S0027,Artist,Research,65,27
S0027,Artist,Critical Thinking,62,53
S0027,Artist,Creativity,89,83
S0027,Lawyer,Leadership,66,39
S0027,Lawyer,Coding,65,59
S0027,Lawyer,Creativity,83,50
S0027,Lawyer,Research,84,57
S0027,Lawyer,Technical Skills,93,66
S0028,Engineer,Teamwork,88,66
S0028,Engineer,Empathy,97,64
S0028,Engineer,Research,72,60
S0028,Engineer,Leadership,70,44
S0028,Engineer,Creativity,64,34
S0028,Pilot,Critical Thinking,73,50
S0028,Pilot,Technical Skills,72,56
S0028,Pilot,Empathy,82,48
S0028,Pilot,Communication,64,27
S0028,Pilot,Problem Solving,82,55
S0028,Doctor,Technical Skills,75,52
S0028,Doctor,Research,75,60
S0028,Doctor,Communication,97,60
S0028,Doctor,Problem Solving,92,82
S0028,Doctor,Coding,78,68
S0028,Entrepreneur,Leadership,90,69
S0028,Entrepreneur,Empathy,95,93
S0028,Entrepreneur,Communication,64,43
S0028,Entrepreneur,Critical Thinking,94,77
S0028,Entrepreneur,Creativity,87,60
S0028,Lawyer,Coding,60,51
S0028,Lawyer,Research,92,71
S0028,Lawyer,Creativity,73,63
S0028,Lawyer,Critical Thinking,89,78
S0028,Lawyer,Teamwork,90,66
S0029,Teacher,Leadership,64,24
S0029,Teacher,Coding,83,80
S0029,Teacher,Creativity,70,50
S0029,Teacher,Communication,68,35
S0029,Teacher,Empathy,83,64
S0029,Artist,Leadership,89,77
S0029,Artist,Teamwork,60,26
S0029,Artist,Creativity,96,66
S0029,Artist,Critical Thinking,68,68
S0029,Artist,Problem Solving,100,71
S0029,Pilot,Creativity,90,61
S0029,Pilot,Coding,67,60
S0029,Pilot,Communication,92,74
S0029,Pilot,Empathy,68,48
S0029,Pilot,Leadership,68,38
S0029,Entrepreneur,Coding,63,63
S0029,Entrepreneur,Leadership,88,83
S0029,Entrepreneur,Creativity,69,65
S0029,Entrepreneur,Critical Thinking,63,54
S0029,Entrepreneur,Problem Solving,77,68
S0029,Data Scientist,Creativity,63,41
S0029,Data Scientist,Problem Solving,90,62
S0029,Data Scientist,Coding,90,84
S0029,Data Scientist,Empathy,99,72
S0029,Data Scientist,Teamwork,67,30
S0030,Artist,Empathy,99,72
S0030,Artist,Research,82,57
S0030,Artist,Teamwork,85,56
S0030,Artist,Creativity,86,68
S0030,Artist,Communication,62,24
S0030,Engineer,Empathy,77,76
S0030,Engineer,Leadership,61,22
S0030,Engineer,Creativity,83,74
S0030,Engineer,Teamwork,70,52
S0030,Engineer,Communication,68,44
S0030,Lawyer,Technical Skills,71,63
S0030,Lawyer,Creativity,65,28
S0030,Lawyer,Research,64,48
S0030,Lawyer,Problem Solving,75,36
S0030,Lawyer,Teamwork,60,31
S0030,Scientist,Critical Thinking,75,49
S0030,Scientist,Technical Skills,63,56
S0030,Scientist,Problem Solving,81,50
S0030,Scientist,Creativity,100,63
S0030,Scientist,Coding,67,62
S0030,Entrepreneur,Technical Skills,85,76
