student_id,task_id,subject,status,assigned_date,due_date,completed_date
S0005,948dc306-c597-4190-abf8-4291ef07d395,English,Completed,2025-04-30,2025-05-10,2025-05-10
S0005,ed028240-41c7-440b-86c4-dbd57c7ec3d5,Social Science,In Progress,2025-02-10,2025-02-19,
S0005,6a1ef24e-f4ae-4b90-90d6-dee89a45a83f,Economics,Overdue,2025-03-11,2025-03-22,
S0005,f5cd4c1f-de9f-46c7-aa0d-124a0c7b0678,Science,Overdue,2025-01-09,2025-01-18,
S0005,f43307de-cf84-4805-af8a-feca9605ee83,Computer Science,Overdue,2024-11-26,2024-12-08,
S0006,47b986c3-6fd2-4de6-9e6e-077b32d1c9e0,History,In Progress,2024-11-30,2024-12-02,
S0006,10d1fb21-ae25-40f7-8780-1f92d0ebb103,History,Overdue,2025-01-15,2025-01-17,
S0006,601dec57-4393-4506-b21a-1be9466d4cd2,Science,Overdue,2025-05-08,2025-05-14,
S0006,a508f999-2c15-4a0c-bf6a-854eeb7d1838,English,In Progress,2024-12-11,2024-12-15,
S0006,4090374a-7176-4a5e-9ccb-660bb8310ef4,English,Completed,2025-03-19,2025-03-25,2025-03-25
S0006,3be746b1-9d5c-4e84-bf29-1403fa85c5a6,English,Overdue,2024-12-23,2025-01-03,
S0006,40355f15-3c63-4666-98bf-b8b86975fe32,Math,In Progress,2025-04-15,2025-04-29,
S0006,25545c56-531b-4dd9-ab6f-08e39d2f7f8e,Economics,Completed,2024-12-02,2024-12-08,2024-12-08
S0006,9dc57f09-728d-4718-a266-3540f3cdbc76,English,Overdue,2025-02-17,2025-02-26,
S0006,bb57660c-dcf5-4601-ac66-0837c414eb82,Math,Overdue,2024-12-01,2024-12-15,
S0007,2bc6c0dc-191e-4d54-87d4-a65b0844e328,History,In Progress,2025-02-10,2025-02-24,
S0007,0b063a76-07d0-4c2b-a91b-b2584ced87eb,Economics,Overdue,2025-03-13,2025-03-20,
S0007,597fca24-4106-4866-858f-ead3ed7591f2,Computer Science,In Progress,2025-05-01,2025-05-09,
S0007,4a6157aa-88c6-4545-bf58-2ace20ed9692,Economics,Completed,2025-02-03,2025-02-16,2025-02-16
S0007,fab62fde-d2e3-4d1a-be42-3a4f29fa0860,Computer Science,Overdue,2024-12-03,2024-12-11,
S0008,e61f618e-3832-451e-9629-f9df5af68857,Social Science,Completed,2025-04-16,2025-04-22,2025-04-22
S0008,85f880e2-5611-4059-be74-20f821c5876a,Math,Completed,2025-02-24,2025-02-25,2025-02-25
S0008,5063070a-ab72-490e-83a0-0272660082b0,Economics,Completed,2025-03-29,2025-04-04,2025-04-04
S0008,ed5d4f12-f87d-4c71-a19f-d3bf06bebade,Science,In Progress,2025-01-10,2025-01-19,
S0008,2704a800-0c77-4797-bf1f-3d4f8089fb43,Science,Overdue,2025-02-07,2025-02-17,
S0008,8e21f72d-50d1-487e-8b0e-58408ad5b1df,English,Completed,2025-03-24,2025-03-30,2025-03-30
S0009,5d6de6bc-2918-4baf-888f-168038467785,Math,Completed,2025-05-10,2025-05-11,2025-05-11
S0009,5e647462-c789-42aa-9172-8936b8a7598d,History,Overdue,2025-02-12,2025-02-19,
S0009,791dbf49-9d85-4ae7-a429-36b9bc6f9e66,Science,Completed,2025-01-23,2025-02-01,2025-02-01
S0009,1b001085-da71-4f0a-aa2f-ee169fc25bd5,Math,Completed,2025-04-18,2025-04-28,2025-04-28
S0009,9df06599-2584-4394-aaa0-3d9c551cac9c,Computer Science,Overdue,2024-12-02,2024-12-13,
S0009,cc1cb516-5741-4d44-b80b-8ed33dbfaf35,Social Science,Completed,2025-03-31,2025-04-04,2025-04-04
S0009,19e8de61-4588-4763-98a0-19db157fe9de,Economics,Completed,2025-02-12,2025-02-19,2025-02-19
S0009,df76f293-ba4c-4e05-8608-79ba09dad212,Social Science,In Progress,2025-01-12,2025-01-22,
S0009,17f41cb6-0514-4fa0-a2d6-e1eb74fe5d08,Science,In Progress,2025-01-20,2025-01-24,
S0010,a703dc8f-6dd2-49f3-a81a-a8a883de8d99,Math,Completed,2025-03-01,2025-03-02,2025-03-02
S0010,cf47566a-f758-46b6-acc6-2f80c8a47b62,Science,Overdue,2025-05-17,2025-05-18,
S0010,14831423-7e8e-4977-b949-9e07b0014b8e,Math,In Progress,2024-12-20,2024-12-22,
S0010,242558cc-18bc-4585-8c96-926fc2b46daa,Economics,Overdue,2025-05-12,2025-05-18,
S0010,8422bb85-45eb-46ac-8a51-f90536ba081b,Computer Science,Overdue,2024-12-13,2024-12-21,
S0010,749a733f-7c31-4abb-a40d-3a02f7b9120c,Science,Completed,2025-01-08,2025-01-10,2025-01-10
S0010,8b23002c-0adb-4a89-8c8a-fbb1b31681ec,Computer Science,Completed,2025-02-15,2025-03-01,2025-03-01
S0011,2807e6ca-f3c9-4ed7-902f-65695c8c054e,Economics,In Progress,2025-05-24,2025-06-07,
S0011,2bbdcc33-71de-4432-9a3f-ff77e0ab8a56,Math,Overdue,2025-02-08,2025-02-18,
S0011,9a273dd4-ed32-4a71-b8a8-67fe8d4967f2,Science,Completed,2024-12-25,2024-12-30,2024-12-30
S0011,94a359ab-5a57-49eb-9265-9d9b050d7ea6,Computer Science,Completed,2024-11-30,2024-12-03,2024-12-03
S0011,ab28ce01-9347-43fc-95ae-a3675a57c2d6,Science,In Progress,2025-02-04,2025-02-12,
S0011,209b7e38-74d6-4639-a238-b518acf7511b,Math,In Progress,2025-01-16,2025-01-27,
S0011,63045dbd-f229-454b-9efc-a3edba01881b,English,Overdue,2024-12-18,2024-12-20,
S0012,df6eb2cf-a007-45dd-9bc2-ffa87002e989,Math,In Progress,2025-02-03,2025-02-14,
S0012,041cb2eb-4b6b-45be-b3cb-97a77b7ba8e7,Science,Overdue,2025-01-15,2025-01-29,
S0012,130f2034-bd2a-4217-9ef9-83cc4377f7a3,English,In Progress,2024-12-19,2024-12-28,
S0012,57050a11-6b09-4308-94ea-6724eaff2787,History,Overdue,2025-04-19,2025-04-25,
S0012,8f7fcbce-e274-449e-ae62-cb0589cd1626,Computer Science,Overdue,2024-12-14,2024-12-22,
S0012,002ac11b-2142-4e93-93c7-f8713873d5d6,Economics,Completed,2025-05-20,2025-05-22,2025-05-22
S0012,93144b8d-e77c-4b40-b6d0-6c89a48fb0fc,Computer Science,In Progress,2025-02-12,2025-02-23,
S0013,e186e311-3193-419d-8180-585706781b51,History,Completed,2025-04-07,2025-04-10,2025-04-10
S0013,34a918a0-f549-4e3f-b36a-bbf8f220f826,Math,Completed,2024-12-15,2024-12-24,2024-12-24
S0013,4fd885a1-a9db-45ac-a924-df2e7530d7d6,Social Science,Overdue,2024-12-08,2024-12-15,
S0013,ba4ab862-1cbb-4919-96d0-3d8d61644420,History,Completed,2024-12-11,2024-12-22,2024-12-22
S0013,42da7eec-35ae-4e71-97c8-cc971de98903,Economics,Completed,2025-04-15,2025-04-27,2025-04-27
S0013,22c6c7e5-fb5a-438b-8f90-6301bb1e3ca1,Economics,Overdue,2025-04-02,2025-04-06,
S0013,689fabf1-66fa-4971-8ff9-f66024abec4a,Computer Science,In Progress,2025-01-09,2025-01-21,
S0013,a85f2510-30b7-46d7-9beb-ad60695df2c6,Computer Science,In Progress,2025-02-22,2025-03-07,
S0013,45ef7373-675b-450e-b34e-9d1874749820,English,Completed,2025-01-04,2025-01-16,2025-01-16
S0014,bdd26d04-5ca2-4ab5-8bd2-1007d682a60a,Economics,Completed,2025-01-08,2025-01-11,2025-01-11
S0014,f21e3ef1-4e8c-4046-8995-6c43cf0158bb,Computer Science,Overdue,2025-04-03,2025-04-04,
S0014,a8af6212-b4df-4a89-9690-d1b3f6f54889,English,Completed,2025-04-28,2025-05-03,2025-05-03
S0014,2ac60e07-29f8-433c-a5a1-33c357e448f8,Math,Overdue,2025-01-02,2025-01-16,
S0014,ca8791db-79bd-4f58-ad3c-e0bf0500e4f2,Science,In Progress,2025-03-01,2025-03-06,
S0014,9012ea47-b90b-4bb6-820b-3b35d869e37e,Social Science,Completed,2025-02-10,2025-02-20,2025-02-20
S0014,7e9ce7af-7f97-40c4-aca9-3400187dfdee,Computer Science,Completed,2025-01-08,2025-01-15,2025-01-15
S0014,e83f8571-b470-45cb-8de1-c38f09a133a8,History,In Progress,2025-01-18,2025-01-23,
S0015,e10b15b0-f1b2-4325-af09-1204b7f2b868,Science,Overdue,2025-01-04,2025-01-12,
S0015,fecaffff-ab9c-4251-becf-4f66fd0db0cb,Science,Completed,2025-03-12,2025-03-22,2025-03-22
S0015,11027b6e-e294-4f8a-adda-a5656982e6f8,Math,Completed,2025-03-27,2025-04-06,2025-04-06
S0015,fd20ffca-53b5-4efc-bb56-ec30b58446ba,Math,In Progress,2025-02-16,2025-02-19,
S0015,ea5473ed-66de-4da7-9716-2222abf0d79a,Computer Science,Overdue,2024-12-24,2025-01-05,
S0015,7bfd1c66-6076-4a1e-a838-d127d4b7e3ff,History,Completed,2025-04-01,2025-04-15,2025-04-15
S0016,87736781-837a-4d80-9e27-bc9d9cf526fc,Science,Overdue,2025-05-20,2025-05-21,
S0016,266728e9-2a74-4321-b142-90e00dafe16c,English,Completed,2025-01-04,2025-01-05,2025-01-05
S0016,ff248711-f988-4d32-97a2-63e017aa5aa5,Economics,In Progress,2025-04-04,2025-04-18,
S0016,6704d025-6684-406d-a48b-61b0d46cd72e,Math,In Progress,2025-01-10,2025-01-14,
S0016,420aa1b0-d64f-4994-83ae-c97938ca03ab,Science,Completed,2025-02-13,2025-02-18,2025-02-18
S0016,8955b6fd-2071-49bc-88c7-4b1c95ed8a65,Social Science,In Progress,2024-11-27,2024-12-05,
S0016,f217b172-8384-4b42-b5ae-21a319c58d7b,Science,Completed,2025-02-28,2025-03-01,2025-03-01
S0016,adc490ba-4a59-4494-ab22-10d17086e56c,Economics,Overdue,2025-05-14,2025-05-16,
S0016,4b9424d7-3e5b-4805-ab92-c5bc65a97bff,Social Science,In Progress,2024-11-30,2024-12-07,
S0016,91af7f08-3f97-4853-975b-65e440c0f342,Math,Overdue,2025-01-05,2025-01-17,
S0017,c7feb787-6c64-4590-b334-93d96c0b14aa,English,Overdue,2025-01-14,2025-01-26,
S0017,66ed545c-31f8-41ad-828d-90d0871dbec9,English,Completed,2025-02-18,2025-02-19,2025-02-19
S0017,5f14f917-1561-4ed0-8fbd-00528e5ea4a6,Computer Science,Overdue,2025-04-21,2025-04-28,
S0017,32bd18ed-de6a-45d5-aff6-48d7a4f38825,History,In Progress,2025-03-05,2025-03-10,
S0017,b44191d0-7a2e-4d5a-b340-e76d0c645f00,Social Science,Completed,2025-03-06,2025-03-08,2025-03-08
S0018,4feaea17-dd9d-4acd-95b5-b488cde7f7a4,Computer Science,In Progress,2024-12-05,2024-12-11,
S0018,1c9edb43-d2bd-464a-911c-390d7c3916c5,History,Completed,2024-12-19,2025-01-02,2025-01-02
S0018,4296f50f-b790-4227-bea5-abac2bbf25fd,Economics,Overdue,2024-12-31,2025-01-04,
S0018,8f3712b8-bf64-4025-85ce-040eb995da5d,Economics,In Progress,2025-03-16,2025-03-19,
S0018,cb2336c1-9c07-4f2d-a55c-81f1a96f2233,Math,Overdue,2025-03-31,2025-04-01,
S0018,5150059f-6339-4d1c-b0a5-7ba1e717a850,Science,In Progress,2024-12-29,2024-12-31,
S0018,04346067-8fba-448d-8ab0-5dda71ea661b,Economics,In Progress,2025-05-19,2025-05-25,
S0018,a75c4242-c676-46c7-ad64-9a13f87653ba,English,Completed,2025-02-27,2025-03-08,2025-03-08
S0018,18c2d42d-dd92-498a-aa3c-998f5da8cc80,English,In Progress,2025-01-26,2025-01-28,
S0018,ff332f69-fcd3-45b3-ae71-b731770a3b5b,Economics,Completed,2025-03-28,2025-04-04,2025-04-04
S0019,0bbcbbd7-1fee-4a96-bde2-a1a76ab58c35,Science,Overdue,2025-03-16,2025-03-29,
S0019,b43dfb48-8b13-4334-ba6f-c2d13fc9b7d7,Economics,In Progress,2024-12-06,2024-12-09,
S0019,50608669-a2c4-4d6a-854b-678d30554e90,Science,In Progress,2024-11-26,2024-12-07,
S0019,43c6c667-ace7-4cbc-b552-fcd3d38fa67e,History,Overdue,2025-05-07,2025-05-14,
S0019,b4b1ca8f-7bf5-4957-b0ca-e5348c7e323c,Science,In Progress,2025-04-25,2025-05-01,
S0019,a08aa3a7-00ee-4fac-a80d-f7e284261e53,Computer Science,In Progress,2025-01-27,2025-02-10,
S0020,99de4081-73e7-4c04-b292-e10599f82879,History,In Progress,2024-12-20,2024-12-24,
S0020,9c8da044-4239-4354-9a34-8efce7429728,English,Overdue,2025-04-11,2025-04-23,
S0020,73a3f1ec-a312-4424-a739-64f51a72f34a,Economics,Completed,2025-03-15,2025-03-21,2025-03-21
S0020,0a1ac24f-520b-419b-97ef-e1156e334143,History,Completed,2025-01-27,2025-02-08,2025-02-08
S0020,6b27e2bc-ad49-4ff4-a76d-7be3aa7ff097,History,Overdue,2024-11-25,2024-12-09,
S0020,8acbec60-83c7-4f4c-9638-20a195192563,Science,In Progress,2025-02-27,2025-03-11,
S0021,0949fcf6-ce1f-4b5f-ab2c-c1877394b799,English,Overdue,2025-03-16,2025-03-30,
S0021,d3b60523-c28f-46c2-b1cd-3579e6b2c814,Math,In Progress,2024-12-21,2024-12-28,
S0021,d67071bb-2472-4840-84b4-f846af272a27,Social Science,In Progress,2025-05-17,2025-05-30,
S0021,5b5cd762-d7fb-4439-95f1-5765be1973d9,History,Completed,2025-03-02,2025-03-15,2025-03-15
S0021,3dd3a22f-06f7-4c8b-8b03-88236e7647c9,Computer Science,In Progress,2024-12-23,2024-12-29,
S0021,5e5c3580-9dc4-41f7-ac0f-dad7abef7ab1,English,In Progress,2025-01-17,2025-01-29,
S0021,01b359e9-32ae-4353-a720-639b18f8ecd6,Economics,Overdue,2025-03-15,2025-03-26,
S0021,2c3dc515-5a07-4a46-b1b0-a6d75bf59853,Computer Science,Completed,2025-02-09,2025-02-20,2025-02-20
S0022,a1ec5eb7-cb41-455f-9901-6c021119ed35,English,In Progress,2025-04-06,2025-04-11,
S0022,18863686-e47d-4ae3-b66e-9da6da2c7a68,Computer Science,In Progress,2025-05-04,2025-05-16,
S0022,401275cd-b3c5-4fd2-98c2-24ef1d609fee,Math,In Progress,2025-04-18,2025-04-25,
S0022,0ac6fbc1-b059-410c-a09c-a3506a7d3467,English,Completed,2024-12-20,2024-12-25,2024-12-25
S0022,64dd6762-c06f-4d5c-ad0b-6c54ff25c3b7,History,Overdue,2024-11-29,2024-12-03,
S0022,63cd21c7-dc15-4ac5-af43-befdd65fd6e2,Science,In Progress,2025-01-28,2025-02-01,
S0022,a8c6ca46-55c5-4549-adfe-f9845251cd2f,Computer Science,In Progress,2025-02-01,2025-02-10,
S0022,4b9f0e53-d590-41d0-b0ca-66472313e54c,Computer Science,In Progress,2025-05-02,2025-05-09,
S0022,b0da67eb-9d05-4fab-a12c-7aa26658b623,Math,Completed,2024-11-27,2024-12-11,2024-12-11
S0022,c40a4622-2598-4a29-ae65-dd7e669ecbe3,Math,Overdue,2024-11-27,2024-12-03,
S0023,d8996dfa-68c0-42e1-95f2-bfcc4df0d1e3,English,Overdue,2025-05-18,2025-06-01,
S0023,f98f82ad-9292-47d0-a544-12ae0547f004,Science,In Progress,2025-04-06,2025-04-07,
S0023,408c448a-3f2e-4646-9a7c-d8ba46fd1769,History,In Progress,2025-05-15,2025-05-25,
S0023,2580f16c-a88d-4d86-ab52-6acdfb208415,Math,Overdue,2025-04-02,2025-04-10,
S0023,5b9e9f36-0a0b-4ac4-b59c-b17f562443d0,Economics,Completed,2025-03-27,2025-03-31,2025-03-31
S0023,8885cf97-3dab-4ad1-82c9-a222fc2f0bdf,Math,Overdue,2025-02-05,2025-02-15,
S0023,ada8f2b2-7902-4709-8d24-d81721646808,Social Science,Completed,2025-02-28,2025-03-09,2025-03-09
S0023,0d89c916-ad3d-46e2-b0ae-558f02e8697d,English,Overdue,2025-03-29,2025-03-30,
S0023,5a2e28a2-b697-4d3f-9d5f-8626bb41802a,Science,Completed,2024-12-04,2024-12-13,2024-12-13
S0024,5a6cc2bf-1e30-4884-9123-13d3ca595754,Math,Overdue,2025-02-04,2025-02-15,
S0024,4a10e802-72a3-4d95-aeb1-596ceec279e6,Economics,In Progress,2025-01-30,2025-02-04,
S0024,dea7b33e-2a71-4131-85e2-8a6b285e4e50,Social Science,Completed,2025-01-27,2025-02-09,2025-02-09
S0024,7ec4173c-5bf7-42b2-9a00-d9784d053276,Science,Overdue,2025-02-09,2025-02-18,
S0024,f99bc542-c7ce-4951-940d-5abf08946f38,Economics,Overdue,2024-12-21,2024-12-25,
S0024,374f9701-7952-404c-8e4c-0bf9e1e98c31,Social Science,Overdue,2024-12-02,2024-12-08,
S0025,80ef954a-27b9-4541-9add-0f52696c2e2b,Computer Science,In Progress,2025-03-09,2025-03-10,
S0025,bc86b62b-656f-46fa-9a28-78bc8947056c,Economics,Completed,2025-03-03,2025-03-09,2025-03-09
S0025,d9e2f920-8582-4f26-91eb-65e51face04e,History,Overdue,2025-03-03,2025-03-04,
S0025,6883e39d-e6b0-4e67-99e0-4337c3e0c120,English,Completed,2025-04-07,2025-04-17,2025-04-17
S0025,ba742acf-6a4e-4682-be4b-ebc1116f01d8,Science,Overdue,2025-04-15,2025-04-28,
S0025,64589fc1-07c1-4aeb-adb4-5c4e9de1b997,Computer Science,Overdue,2025-02-02,2025-02-13,
S0025,a9a9e737-8ddc-4d02-aabd-f7207c4205ea,Math,Overdue,2025-04-10,2025-04-19,
S0025,8b184da7-81cc-4fbc-a18c-455ad78b254f,Social Science,Overdue,2025-03-15,2025-03-22,
S0026,5a874e21-aed2-4f00-8a24-88c663c2eaae,English,Completed,2025-05-14,2025-05-19,2025-05-19
S0026,0e39d968-33f5-4027-a409-b2dceafd8b55,English,In Progress,2025-01-04,2025-01-09,
S0026,e009f1cb-9c53-47ee-9ca8-306ade628b92,Economics,Overdue,2025-05-06,2025-05-10,
S0026,2f53c8b7-3559-4022-b846-be1cfca754a1,Economics,Completed,2025-05-01,2025-05-09,2025-05-09
S0026,bfcdbc43-798e-4f75-87aa-dddb0e72777f,Social Science,Completed,2025-01-29,2025-01-30,2025-01-30
S0026,c4663779-5c75-4f3a-8dc5-02daec659f61,Social Science,Overdue,2024-12-28,2025-01-06,
S0026,4ba9d396-8d3f-4490-afd7-ead2fb8773c9,Math,Completed,2025-04-24,2025-05-03,2025-05-03
S0026,43a0dfee-a5a9-4f0e-89d6-145b889ad842,Science,Overdue,2025-03-05,2025-03-13,
S0027,65f73c9c-351a-469c-97e4-9e440b65889c,Science,Overdue,2025-03-12,2025-03-21,
S0027,5166d669-d9d0-4003-9674-8c34bbb2deb5,Math,Overdue,2025-05-15,2025-05-28,
S0027,5c07f634-3ba6-44d7-9190-f0591affef96,Computer Science,Overdue,2025-02-22,2025-03-06,
S0027,4d474b71-fa36-4ab7-9a61-598508060596,Computer Science,Overdue,2024-12-08,2024-12-18,
S0027,64a3be6f-2775-4d18-a3e9-8a8927508b51,English,Completed,2024-12-23,2024-12-31,2024-12-31
S0027,18edd06a-0610-46e2-8b62-12802b2a2bf9,Social Science,In Progress,2024-12-03,2024-12-11,
S0027,ad6430b0-47db-4e8a-9b22-b3d869df4e12,Economics,In Progress,2025-01-11,2025-01-21,
S0027,6e461a60-8c07-4706-9d66-63a965dfc31b,Science,Completed,2025-04-12,2025-04-17,2025-04-17
S0027,482c738a-fc28-4ef9-ad96-b8035ddc1570,History,Overdue,2025-05-07,2025-05-13,
S0027,44114734-1167-4711-b5b1-d652be09ccf5,History,Completed,2025-05-16,2025-05-17,2025-05-17
S0028,1b00bbe6-7d63-4e19-afc4-2b8421db7a33,English,Overdue,2025-03-20,2025-04-01,
S0028,a3e7fc56-70f1-429b-9774-bc3015a69183,Science,In Progress,2025-04-05,2025-04-14,
S0028,2d8f0e28-cffe-4430-bbd8-34a90a36457e,History,In Progress,2024-12-01,2024-12-11,
S0028,c9978cf3-596c-4ee5-b8bb-d6bc7169b767,History,Overdue,2024-12-11,2024-12-18,
S0028,0a19cf90-034c-49f9-9089-c691c922dd6c,Math,Completed,2025-02-18,2025-02-24,2025-02-24
S0028,d0af4791-de61-4c39-9f5b-ee04e1f22476,History,In Progress,2025-02-18,2025-02-21,
S0028,8b1f5d2c-8250-4c0c-927c-f8d64749547a,English,Completed,2025-01-06,2025-01-15,2025-01-15
S0028,1a863312-4d55-4996-9348-942e84874635,Computer Science,In Progress,2024-12-26,2025-01-06,
S0028,f2050001-969b-475f-930b-fc40bec9c162,Computer Science,Overdue,2025-02-18,2025-02-19,
S0028,7bf8b7ce-a2e4-49c5-994d-1e8bbfa84703,History,Overdue,2025-03-13,2025-03-19,
S0029,b291e32a-131f-478f-8916-c74f024c4c2b,Math,In Progress,2024-12-21,2024-12-29,
S0029,9640c5fb-6ec6-4c91-a91b-99b81defafd8,Computer Science,Overdue,2025-05-16,2025-05-21,
S0029,176ee7f5-890e-432b-bae2-c89d7fc4165d,Science,Overdue,2025-04-13,2025-04-23,
S0029,3fd31e9e-3c3c-4451-9d47-3820695f44fe,History,In Progress,2025-03-14,2025-03-25,
S0029,c33957cf-26b1-4886-9c85-a13f508e43d8,History,Overdue,2025-04-07,2025-04-08,
S0029,6710c008-5923-42d0-bd7b-a65da6ef7db8,Economics,Overdue,2025-01-23,2025-01-25,
S0029,180962bc-d4fa-46f5-bf08-319345ab0bdc,Computer Science,Completed,2025-01-27,2025-02-01,2025-02-01
S0030,139e7840-d24d-4735-8b70-32d596520b67,Economics,Overdue,2025-05-08,2025-05-21,
S0030,cf433b1c-ae6d-4cb3-acf4-da4c21973a29,Computer Science,Overdue,2025-05-24,2025-05-28,
S0030,f2e3def9-0015-4057-b87e-a3f993297843,English,Completed,2025-01-03,2025-01-17,2025-01-17
S0030,035b8b43-334b-47bb-bccf-f30a5dd749a4,History,Completed,2025-04-23,2025-04-30,2025-04-30
S0030,23b381fa-5a2f-46cc-9921-02756bb52d6f,History,In Progress,2025-02-21,2025-02-24,
S0030,3b7a3e57-c7a4-4309-8ed8-9ee41f1f0019,Computer Science,In Progress,2025-04-23,2025-05-03,
S0030,3c792fd1-fe3d-495a-a4cd-2212659510da,Math,In Progress,2024-12-11,2024-12-21,
S0030,7d82f901-d1a6-45a2-91c1-0d54d0f94363,Social Science,Completed,2025-02-05,2025-02-06,2025-02-06
S0030,e93467d7-f572-4420-9a50-84db69393dee,Economics,Overdue,2025-03-06,2025-03-18,
S0031,57d1cae5-5130-4583-8b25-c2a1dfa5b930,Economics,In Progress,2025-01-30,2025-02-07,
S0031,5352713e-5936-4e46-8aa6-2c9203bcb65b,Computer Science,Completed,2025-03-18,2025-03-19,2025-03-19
S0031,80f42361-9ca0-4fa5-8e65-cb6371019170,Computer Science,Overdue,2024-11-26,2024-12-05,
S0031,d89412e1-6524-434c-9852-be5bb8e438e2,Math,Completed,2025-04-29,2025-04-30,2025-04-30
S0031,09ab99be-339e-4d58-96c6-95ebc3d519a4,English,In Progress,2025-05-03,2025-05-09,
S0031,7a7cb980-0083-444e-842c-f3c6a6576f08,English,Completed,2024-11-25,2024-11-26,2024-11-26
S0031,7b69dbaf-cf9b-45b3-9adf-3ef152d269d1,Math,Completed,2025-02-17,2025-02-19,2025-02-19
S0031,66418c01-0e8a-4026-8eeb-ce63575c7720,Social Science,Overdue,2025-04-01,2025-04-11,
S0032,6eda79ec-108c-4060-8051-a6d909ef61ce,Science,Completed,2025-02-26,2025-03-10,2025-03-10
S0032,c6705ddd-1842-4299-83be-af8c52a90bbc,History,Overdue,2025-01-04,2025-01-08,
S0032,b26af425-3c02-404a-b74d-43eb377962f2,Computer Science,Completed,2024-12-11,2024-12-15,2024-12-15
S0032,c5831756-f011-4125-92f5-dca00a2ffcb6,Computer Science,Completed,2025-03-31,2025-04-07,2025-04-07
S0032,bbb61b3b-8259-4c7b-9dd3-743e634f4b5f,English,Completed,2024-11-24,2024-11-29,2024-11-29
S0032,00263aaf-3ced-456f-a500-e7909b3844fa,Science,Overdue,2025-02-07,2025-02-12,
S0032,3545a988-b02f-467a-bd39-68a5f6f47f9a,Science,Completed,2025-05-04,2025-05-14,2025-05-14
S0032,e9c5a1d8-3362-4085-9977-d89355691795,English,Completed,2025-04-11,2025-04-22,2025-04-22
S0033,bc9976ab-008c-4d11-bb4a-5c7da1b70929,Science,Overdue,2025-04-22,2025-05-04,
