student_id,badge,date_awarded
S0062,Quiz Champion,2025-02-15
S0063,Quiz Champion,2025-03-12
S0064,Subject Star,2025-05-16
S0065,Top Performer,2025-01-20
S0065,Improved Significantly,2024-12-27
S0065,Top Performer,2025-01-25
S0065,Top Performer,2024-12-25
S0066,Subject Star,2025-04-18
S0066,Improved Significantly,2025-04-28
S0067,Top Performer,2025-01-22
S0067,Improved Significantly,2025-02-23
S0067,Subject Star,2025-01-06
S0068,Improved Significantly,2025-03-02
S0068,Consistent Learner,2025-03-09
S0068,Consistent Learner,2025-01-22
S0068,Improved Significantly,2025-04-15
S0069,Top Performer,2024-12-04
S0069,Consistent Learner,2025-04-28
S0069,Top Performer,2025-05-21
S0069,Consistent Learner,2025-01-03
S0070,Consistent Learner,2025-04-01
S0071,Consistent Learner,2025-01-20
S0071,Quiz Champion,2024-12-31
S0072,Subject Star,2025-04-23
S0073,Subject Star,2024-12-14
S0073,Quiz Champion,2025-03-30
S0073,Improved Significantly,2024-12-06
S0073,Subject Star,2025-03-07
S0074,Top Performer,2025-03-21
S0074,Top Performer,2024-12-27
S0074,Consistent Learner,2025-02-04
S0075,Top Performer,2025-05-21
S0075,Quiz Champion,2025-02-21
S0076,Subject Star,2024-12-17
S0076,Improved Significantly,2024-11-26
S0076,Subject Star,2025-04-30
S0076,Subject Star,2025-03-26
S0077,Subject Star,2025-05-01
S0077,Improved Significantly,2025-03-07
S0077,Consistent Learner,2024-12-19
S0077,Consistent Learner,2024-12-02
S0078,Quiz Champion,2025-05-06
S0078,Top Performer,2025-01-16
S0078,Subject Star,2024-12-13
S0079,Improved Significantly,2025-04-28
S0079,Consistent Learner,2025-05-15
S0080,Quiz Champion,2025-01-21
S0081,Quiz Champion,2025-04-06
S0082,Subject Star,2025-01-14
S0083,Quiz Champion,2025-04-16
S0083,Quiz Champion,2025-04-02
S0084,Improved Significantly,2025-01-26
S0084,Top Performer,2025-03-12
S0085,Subject Star,2025-02-11
S0085,Improved Significantly,2025-04-15
S0086,Improved Significantly,2025-05-06
S0086,Consistent Learner,2025-01-09
S0086,Top Performer,2025-01-26
S0087,Consistent Learner,2024-12-30
S0087,Top Performer,2025-05-17
S0087,Subject Star,2025-04-04
S0088,Improved Significantly,2025-03-12
S0088,Quiz Champion,2025-03-21
S0088,Improved Significantly,2025-05-04
S0088,Consistent Learner,2025-04-24
S0089,Consistent Learner,2025-01-11
S0089,Top Performer,2024-12-05
S0089,Quiz Champion,2025-05-11
S0090,Top Performer,2025-01-22
S0090,Improved Significantly,2025-04-11
S0090,Top Performer,2025-03-15
S0091,Improved Significantly,2025-04-19
S0091,Quiz Champion,2024-12-01
S0092,Subject Star,2024-12-01
S0092,Consistent Learner,2025-05-24
S0092,Improved Significantly,2024-12-18
S0092,Consistent Learner,2025-05-09
S0093,Quiz Champion,2024-12-13
S0093,Top Performer,2025-03-07
S0093,Top Performer,2024-11-28
S0093,Subject Star,2024-12-16
S0094,Top Performer,2025-03-03
S0094,Subject Star,2025-02-25
S0094,Improved Significantly,2025-02-11
S0095,Subject Star,2025-04-29
S0096,Improved Significantly,2025-02-09
S0096,Top Performer,2024-12-09
S0096,Consistent Learner,2025-01-29
S0096,Quiz Champion,2025-03-13
S0097,Quiz Champion,2025-03-10
S0097,Consistent Learner,2025-03-27
S0098,Consistent Learner,2024-12-19
S0099,Top Performer,2025-03-30
S0099,Subject Star,2025-04-30
S0099,Subject Star,2024-12-09
S0099,Improved Significantly,2025-01-15
S0100,Top Performer,2025-03-21
S0100,Top Performer,2025-03-08
S0100,Top Performer,2025-03-09
S0100,Subject Star,2025-05-20
S0101,Subject Star,2025-03-13
S0102,Quiz Champion,2025-04-10
S0102,Improved Significantly,2025-05-24
S0102,Subject Star,2025-02-22
S0103,Top Performer,2025-02-15
S0103,Consistent Learner,2025-02-08
S0103,Subject Star,2025-03-02
S0103,Subject Star,2025-01-29
S0104,Subject Star,2025-02-12
S0104,Top Performer,2025-01-06
S0105,Consistent Learner,2025-04-27
S0105,Improved Significantly,2025-04-05
S0105,Subject Star,2025-04-22
S0106,Subject Star,2025-05-01
S0107,Consistent Learner,2025-04-30
S0107,Quiz Champion,2025-01-22
S0108,Consistent Learner,2025-03-28
S0108,Top Performer,2025-05-21
S0108,Top Performer,2025-05-10
S0108,Top Performer,2025-02-23
S0109,Improved Significantly,2025-04-09
S0109,Consistent Learner,2025-05-09
S0110,Consistent Learner,2025-05-16
S0110,Quiz Champion,2025-02-26
S0110,Consistent Learner,2025-01-31
S0111,Improved Significantly,2024-12-26
S0112,Consistent Learner,2025-01-12
S0112,Consistent Learner,2025-03-02
S0112,Improved Significantly,2024-12-08
S0112,Subject Star,2024-11-26
S0113,Top Performer,2025-02-17
S0113,Subject Star,2025-03-06
S0113,Subject Star,2025-01-18
S0113,Quiz Champion,2024-12-21
S0114,Consistent Learner,2025-01-05
S0115,Improved Significantly,2025-01-12
S0115,Subject Star,2025-02-05
S0115,Improved Significantly,2025-03-10
S0115,Quiz Champion,2025-02-24
S0116,Top Performer,2024-12-23
S0116,Improved Significantly,2024-12-08
S0116,Quiz Champion,2025-02-06
S0116,Top Performer,2025-05-01
S0117,Consistent Learner,2025-02-07
S0117,Improved Significantly,2025-04-24
S0117,Consistent Learner,2025-02-19
S0117,Consistent Learner,2025-02-10
S0118,Improved Significantly,2025-01-31
S0118,Improved Significantly,2025-04-19
S0118,Quiz Champion,2024-11-25
S0119,Subject Star,2025-01-01
S0119,Consistent Learner,2025-03-14
S0120,Improved Significantly,2025-03-30
S0120,Subject Star,2025-05-13
S0121,Improved Significantly,2025-01-10
S0121,Quiz Champion,2025-01-22
S0122,Top Performer,2025-05-14
S0122,Top Performer,2025-02-20
S0122,Consistent Learner,2024-12-31
S0123,Improved Significantly,2025-05-22
S0123,Consistent Learner,2025-03-21
S0123,Top Performer,2025-01-20
S0123,Quiz Champion,2025-01-07
S0124,Quiz Champion,2025-03-27
S0124,Top Performer,2025-04-25
S0124,Consistent Learner,2025-01-18
S0125,Subject Star,2025-04-13
S0125,Top Performer,2024-12-24
S0126,Subject Star,2025-03-05
S0126,Subject Star,2025-01-26
S0126,Consistent Learner,2024-12-29
S0127,Quiz Champion,2024-12-05
S0127,Quiz Champion,2024-11-24
S0127,Subject Star,2025-03-05
S0128,Quiz Champion,2025-03-03
S0129,Improved Significantly,2025-04-19
S0129,Improved Significantly,2025-01-05
S0130,Quiz Champion,2025-01-06
S0130,Improved Significantly,2025-03-03
S0130,Consistent Learner,2025-02-19
S0131,Consistent Learner,2025-02-16
S0132,Subject Star,2025-01-03
S0133,Top Performer,2025-05-01
S0133,Subject Star,2025-04-27
S0134,Consistent Learner,2025-04-11
S0134,Improved Significantly,2025-05-08
S0135,Quiz Champion,2025-04-12
S0136,Improved Significantly,2024-12-04
S0136,Consistent Learner,2025-03-29
S0136,Consistent Learner,2025-01-13
S0136,Consistent Learner,2025-03-13
S0137,Top Performer,2025-03-28
S0138,Quiz Champion,2025-01-27
S0138,Quiz Champion,2025-02-20
S0139,Quiz Champion,2025-01-17
S0139,Top Performer,2024-12-09
S0139,Consistent Learner,2025-03-11
S0140,Top Performer,2025-04-29
S0140,Top Performer,2025-03-05
S0141,Quiz Champion,2025-01-29
S0141,Top Performer,2025-05-02
S0141,Top Performer,2025-03-23
S0141,Improved Significantly,2025-01-07
S0142,Top Performer,2025-04-23
S0143,Consistent Learner,2025-03-18
S0144,Improved Significantly,2025-02-23
S0144,Improved Significantly,2025-01-18
S0145,Improved Significantly,2025-03-23
S0145,Consistent Learner,2025-02-13
S0146,Consistent Learner,2024-11-27
S0146,Subject Star,2024-11-27
S0147,Consistent Learner,2025-01-13
S0147,Consistent Learner,2025-03-11
S0147,Quiz Champion,2025-01-23
S0148,Top Performer,2024-12-04
S0148,Consistent Learner,2025-01-24
S0149,Top Performer,2025-01-12
S0149,Subject Star,2025-03-06
S0150,Improved Significantly,2025-04-06
S0150,Consistent Learner,2024-12-01
S0151,Consistent Learner,2025-04-07
S0151,Quiz Champion,2025-01-30
S0151,Quiz Champion,2025-03-23
S0151,Improved Significantly,2024-12-15
S0152,Top Performer,2025-02-19
S0153,Consistent Learner,2025-01-14
S0154,Top Performer,2025-01-27
S0154,Quiz Champion,2025-02-02
S0154,Top Performer,2025-04-06
S0154,Subject Star,2025-03-03
S0155,Subject Star,2024-11-25
S0155,Quiz Champion,2025-04-04
S0155,Top Performer,2024-12-08
S0156,Top Performer,2024-12-20
S0156,Improved Significantly,2024-12-29
S0156,Consistent Learner,2025-05-23
S0156,Subject Star,2025-01-31
S0157,Subject Star,2025-01-15
S0157,Consistent Learner,2025-04-14
S0157,Consistent Learner,2024-12-23
S0158,Improved Significantly,2024-12-15
S0158,Improved Significantly,2025-01-04
S0158,Quiz Champion,2025-02-11
S0159,Quiz Champion,2025-03-21
S0159,Consistent Learner,2025-03-22
S0159,Improved Significantly,2025-04-23
S0160,Consistent Learner,2025-03-24
S0161,Quiz Champion,2024-12-12
S0162,Improved Significantly,2025-05-20
S0163,Subject Star,2025-01-16
S0164,Top Performer,2025-02-18
S0164,Top Performer,2025-03-23
S0164,Consistent Learner,2025-02-06
S0165,Improved Significantly,2025-05-12
S0166,Top Performer,2024-12-01
S0166,Consistent Learner,2025-01-28
S0166,Top Performer,2025-01-11
S0166,Top Performer,2025-03-15
S0167,Top Performer,2024-12-10
S0168,Subject Star,2025-04-27
S0169,Quiz Champion,2024-12-02
S0169,Quiz Champion,2025-03-31
S0170,Quiz Champion,2024-12-01
S0171,Consistent Learner,2025-01-27
S0171,Quiz Champion,2025-03-30
S0171,Improved Significantly,2025-05-18
S0172,Consistent Learner,2025-05-25
S0172,Consistent Learner,2024-12-14
S0173,Quiz Champion,2025-03-22
S0173,Quiz Champion,2024-12-21
S0173,Subject Star,2024-12-12
S0174,Quiz Champion,2025-05-04
S0174,Quiz Champion,2024-11-28
S0175,Subject Star,2025-05-20
S0176,Improved Significantly,2025-01-21
S0176,Quiz Champion,2025-01-04
S0176,Quiz Champion,2025-02-26
S0177,Improved Significantly,2025-03-15
S0177,Consistent Learner,2025-04-18
S0177,Top Performer,2024-12-14
S0177,Consistent Learner,2025-01-31
S0178,Top Performer,2024-12-08
S0178,Consistent Learner,2025-03-16
S0178,Improved Significantly,2025-03-30
S0178,Consistent Learner,2025-03-13
S0179,Consistent Learner,2025-03-31
S0180,Improved Significantly,2025-04-05
S0180,Consistent Learner,2025-04-11
S0180,Top Performer,2024-12-13
S0181,Improved Significantly,2025-04-19
S0182,Subject Star,2024-12-25
S0183,Top Performer,2025-03-01
S0184,Subject Star,2025-04-25
S0184,Top Performer,2024-12-18
S0184,Quiz Champion,2025-04-10
S0185,Consistent Learner,2025-03-25
S0185,Subject Star,2025-01-24
S0185,Improved Significantly,2025-04-01
S0185,Quiz Champion,2024-12-26
S0186,Quiz Champion,2025-04-14
S0187,Improved Significantly,2025-02-01
S0188,Quiz Champion,2025-03-22
S0189,Quiz Champion,2025-03-07
S0190,Improved Significantly,2024-11-25
S0190,Improved Significantly,2025-01-12
S0190,Consistent Learner,2025-03-15
S0190,Subject Star,2025-01-22
S0191,Quiz Champion,2025-02-21
S0191,Consistent Learner,2025-02-19
S0191,Quiz Champion,2025-04-07
S0191,Quiz Champion,2025-03-19
S0192,Consistent Learner,2024-12-25
S0192,Subject Star,2025-02-23
S0192,Consistent Learner,2025-02-28
S0192,Improved Significantly,2025-01-06
S0193,Improved Significantly,2025-02-17
S0194,Quiz Champion,2025-01-07
S0195,Subject Star,2025-05-09
S0195,Quiz Champion,2025-04-25
S0196,Consistent Learner,2024-12-20
S0196,Improved Significantly,2025-05-08
S0196,Improved Significantly,2025-04-15
S0196,Subject Star,2025-03-12
S0197,Subject Star,2025-05-21
S0198,Subject Star,2025-05-07
S0198,Consistent Learner,2025-01-19
S0198,Subject Star,2024-12-11
S0199,Top Performer,2025-01-26
S0199,Top Performer,2025-01-25
S0200,Improved Significantly,2025-05-21
S0200,Consistent Learner,2025-01-27
S0200,Subject Star,2025-05-20
S0201,Improved Significantly,2025-04-15
S0201,Subject Star,2024-12-09
S0201,Subject Star,2025-05-18
S0202,Subject Star,2025-02-23
S0202,Subject Star,2024-12-08
S0202,Consistent Learner,2025-01-20
S0203,Subject Star,2025-01-06
S0203,Top Performer,2025-05-21
S0203,Consistent Learner,2025-02-03
S0204,Improved Significantly,2025-05-11
S0204,Top Performer,2025-05-17
S0204,Top Performer,2025-01-02
S0205,Subject Star,2025-04-13
S0205,Consistent Learner,2024-12-06
S0206,Top Performer,2025-05-08
S0206,Improved Significantly,2025-02-08
S0206,Top Performer,2025-03-03
S0207,Consistent Learner,2025-04-11
S0207,Quiz Champion,2025-04-16
S0207,Top Performer,2025-02-02
S0207,Quiz Champion,2025-04-11
S0208,Top Performer,2024-12-21
S0208,Improved Significantly,2024-12-04
S0209,Improved Significantly,2024-12-06
S0210,Quiz Champion,2025-04-10
S0210,Improved Significantly,2024-12-26
S0210,Consistent Learner,2025-04-25
S0210,Consistent Learner,2024-11-27
S0211,Subject Star,2025-05-23
S0211,Top Performer,2024-12-18
S0211,Consistent Learner,2025-03-21
S0211,Subject Star,2025-04-02
S0212,Top Performer,2025-03-27
S0212,Subject Star,2025-01-04
S0212,Quiz Champion,2025-05-05
S0213,Consistent Learner,2025-03-23
S0213,Consistent Learner,2024-12-07
S0213,Top Performer,2025-03-31
S0214,Top Performer,2025-04-07
S0214,Subject Star,2025-02-21
S0215,Quiz Champion,2025-02-03
S0215,Quiz Champion,2025-03-06
S0216,Subject Star,2024-12-19
S0216,Quiz Champion,2024-12-22
S0216,Improved Significantly,2024-12-17
S0217,Subject Star,2025-01-01
S0217,Subject Star,2025-01-01
S0217,Consistent Learner,2025-01-29
S0217,Consistent Learner,2025-01-08
S0218,Subject Star,2025-04-23
S0218,Consistent Learner,2024-11-29
S0218,Quiz Champion,2025-04-25
S0218,Quiz Champion,2025-02-10
S0219,Consistent Learner,2025-01-21
S0219,Consistent Learner,2025-04-23
S0219,Improved Significantly,2025-02-11
S0220,Top Performer,2025-02-02
S0220,Top Performer,2024-12-07
S0220,Consistent Learner,2025-03-08
S0220,Improved Significantly,2025-03-03
S0221,Quiz Champion,2025-03-13
S0221,Improved Significantly,2025-04-30
S0221,Improved Significantly,2024-12-10
S0222,Improved Significantly,2025-01-24
S0222,Subject Star,2025-04-04
S0223,Improved Significantly,2025-05-12
S0224,Subject Star,2025-04-21
S0224,Subject Star,2025-01-05
S0225,Consistent Learner,2025-04-01
S0225,Consistent Learner,2025-03-17
S0226,Improved Significantly,2024-12-14
S0226,Improved Significantly,2024-12-09
S0226,Quiz Champion,2024-12-01
S0226,Top Performer,2025-05-22
S0227,Consistent Learner,2025-03-09
S0227,Quiz Champion,2025-03-16
S0228,Subject Star,2024-12-13
S0228,Improved Significantly,2025-01-14
S0229,Quiz Champion,2025-04-03
S0230,Top Performer,2025-02-20
S0231,Improved Significantly,2024-11-26
S0231,Subject Star,2025-03-24
S0232,Subject Star,2025-01-29
S0232,Subject Star,2025-03-13
S0232,Consistent Learner,2025-05-12
S0233,Improved Significantly,2025-04-12
S0233,Improved Significantly,2025-05-11
S0233,Consistent Learner,2024-12-08
S0234,Top Performer,2025-04-08
S0234,Consistent Learner,2025-05-06
S0234,Consistent Learner,2025-01-24
S0235,Subject Star,2024-11-25
S0235,Top Performer,2025-05-08
S0236,Subject Star,2025-01-04
S0236,Consistent Learner,2025-02-08
S0236,Subject Star,2025-02-16
S0236,Consistent Learner,2025-04-02
S0237,Consistent Learner,2025-02-10
S0237,Subject Star,2024-12-09
S0237,Quiz Champion,2024-12-28
S0237,Improved Significantly,2025-02-23
S0238,Consistent Learner,2025-04-24
S0238,Subject Star,2025-01-15
S0239,Quiz Champion,2025-04-10
S0239,Subject Star,2025-05-21
S0239,Consistent Learner,2025-03-07
S0240,Subject Star,2025-04-20
S0241,Consistent Learner,2025-04-20
S0241,Quiz Champion,2025-03-06
S0241,Consistent Learner,2025-05-17
S0242,Improved Significantly,2025-03-02
S0242,Quiz Champion,2025-03-20
S0243,Subject Star,2025-05-23
S0243,Improved Significantly,2025-02-17
S0243,Quiz Champion,2024-12-26
S0243,Improved Significantly,2024-11-29
S0244,Consistent Learner,2025-04-02
S0245,Quiz Champion,2025-05-09
S0245,Top Performer,2024-12-04
S0246,Improved Significantly,2024-12-31
S0246,Improved Significantly,2025-04-18
S0247,Consistent Learner,2024-12-26
S0247,Quiz Champion,2025-03-26
S0247,Top Performer,2025-05-16
S0248,Top Performer,2025-03-12
S0248,Top Performer,2025-02-21
S0248,Quiz Champion,2024-12-23
S0249,Quiz Champion,2024-12-12
S0250,Top Performer,2025-01-28
S0250,Top Performer,2025-03-03
S0251,Quiz Champion,2025-01-26
S0252,Subject Star,2024-12-17
S0253,Quiz Champion,2025-04-26
S0253,Consistent Learner,2025-04-27
S0254,Top Performer,2024-12-04
S0255,Consistent Learner,2025-03-19
S0255,Subject Star,2025-04-28
S0256,Improved Significantly,2025-01-16
S0256,Quiz Champion,2024-12-14
S0256,Quiz Champion,2025-01-05
S0256,Improved Significantly,2025-05-05
S0257,Consistent Learner,2024-12-07
S0257,Improved Significantly,2025-03-17
S0257,Subject Star,2024-12-28
S0258,Consistent Learner,2025-03-17
S0258,Top Performer,2025-04-29
S0259,Quiz Champion,2024-12-05
S0259,Top Performer,2025-02-22
S0260,Top Performer,2025-05-06
S0260,Top Performer,2025-05-24
S0260,Quiz Champion,2025-03-26
S0261,Consistent Learner,2025-04-15
S0261,Consistent Learner,2025-04-15
S0262,Subject Star,2025-03-19
S0262,Top Performer,2025-03-04
S0262,Subject Star,2025-01-31
S0262,Subject Star,2025-04-27
S0263,Top Performer,2024-12-07
S0263,Improved Significantly,2025-02-01
S0264,Consistent Learner,2025-02-25
S0265,Improved Significantly,2025-03-09
S0265,Subject Star,2025-01-22
S0265,Quiz Champion,2024-12-27
S0266,Improved Significantly,2025-05-06
S0267,Consistent Learner,2025-03-27
S0267,Subject Star,2025-04-22
S0268,Subject Star,2025-05-09
S0268,Improved Significantly,2025-03-18
S0269,Improved Significantly,2025-01-21
S0269,Subject Star,2025-01-26
S0270,Top Performer,2025-01-14
S0270,Top Performer,2025-05-19
S0270,Subject Star,2024-12-04
S0271,Improved Significantly,2025-03-20
S0271,Top Performer,2025-03-17
S0272,Consistent Learner,2025-04-09
S0272,Consistent Learner,2025-02-16
S0272,Improved Significantly,2025-01-10
S0272,Quiz Champion,2025-01-15
S0273,Subject Star,2025-05-20
S0273,Top Performer,2024-12-23
S0273,Improved Significantly,2025-01-03
S0273,Quiz Champion,2025-03-05
S0274,Subject Star,2025-01-13
S0274,Top Performer,2025-05-18
S0275,Consistent Learner,2025-03-27
S0275,Quiz Champion,2024-12-05
S0276,Top Performer,2025-01-11
S0276,Improved Significantly,2025-04-30
S0277,Subject Star,2025-03-20
S0277,Improved Significantly,2025-05-02
S0278,Quiz Champion,2025-02-11
S0279,Consistent Learner,2025-04-14
S0279,Subject Star,2025-05-18
S0279,Top Performer,2025-05-08
S0279,Subject Star,2025-04-02
S0280,Consistent Learner,2025-04-15
S0281,Consistent Learner,2025-01-10
S0281,Top Performer,2025-03-05
S0282,Top Performer,2024-12-19
S0282,Top Performer,2025-05-20
S0282,Subject Star,2025-04-10
S0283,Improved Significantly,2025-03-29
S0284,Improved Significantly,2025-02-06
S0284,Subject Star,2025-05-17
S0284,Top Performer,2025-05-04
S0285,Improved Significantly,2025-03-13
S0285,Improved Significantly,2025-05-12
S0285,Subject Star,2025-05-08
S0286,Subject Star,2025-05-03
S0286,Top Performer,2024-12-09
S0287,Subject Star,2025-01-07
S0287,Consistent Learner,2025-03-18
S0287,Consistent Learner,2025-03-30
S0287,Improved Significantly,2025-04-26
S0288,Improved Significantly,2025-03-08
S0288,Subject Star,2025-01-02
S0289,Top Performer,2025-03-20
S0290,Consistent Learner,2025-03-21
S0290,Subject Star,2024-12-20
S0290,Top Performer,2025-01-14
S0291,Top Performer,2025-05-21
S0291,Top Performer,2025-05-25
S0291,Quiz Champion,2025-01-05
S0291,Subject Star,2024-12-09
S0292,Subject Star,2025-04-07
S0292,Improved Significantly,2025-01-15
S0293,Consistent Learner,2025-03-01
S0293,Quiz Champion,2025-01-23
S0293,Top Performer,2025-04-01
S0294,Consistent Learner,2025-04-23
S0294,Consistent Learner,2025-05-22
S0295,Subject Star,2025-05-20
S0295,Top Performer,2025-05-11
S0295,Quiz Champion,2025-04-07
S0295,Subject Star,2025-01-30
S0296,Consistent Learner,2024-12-09
S0296,Subject Star,2024-11-30
S0296,Subject Star,2025-04-15
S0296,Top Performer,2024-12-27
S0297,Improved Significantly,2025-05-17
S0297,Subject Star,2025-02-06
S0297,Quiz Champion,2025-01-05
S0298,Consistent Learner,2025-05-10
S0298,Improved Significantly,2024-12-20
S0298,Improved Significantly,2025-05-21
S0299,Quiz Champion,2025-05-15
S0300,Subject Star,2025-01-14
S0300,Consistent Learner,2024-12-14
S0300,Consistent Learner,2024-12-14
S0300,Subject Star,2025-02-20
S0301,Consistent Learner,2024-12-18
S0301,Top Performer,2025-04-24
S0301,Improved Significantly,2025-05-18
S0301,Quiz Champion,2025-01-19
S0302,Top Performer,2025-04-05
S0302,Subject Star,2024-12-09
S0303,Improved Significantly,2025-01-06
S0303,Consistent Learner,2024-12-24
S0303,Consistent Learner,2025-02-04
S0303,Top Performer,2025-03-23
S0304,Quiz Champion,2025-01-31
S0304,Top Performer,2025-04-06
S0304,Subject Star,2024-12-31
S0305,Improved Significantly,2025-04-05
S0305,Top Performer,2024-11-25
S0305,Improved Significantly,2025-02-08
S0306,Improved Significantly,2025-04-16
S0306,Improved Significantly,2025-02-01
S0306,Improved Significantly,2025-04-14
S0307,Subject Star,2025-05-20
S0308,Improved Significantly,2025-03-29
S0308,Subject Star,2024-12-29
S0308,Top Performer,2025-02-15
S0309,Top Performer,2025-02-04
S0309,Quiz Champion,2025-05-18
S0309,Improved Significantly,2024-12-17
S0309,Top Performer,2025-05-21
S0310,Top Performer,2025-02-22
S0310,Quiz Champion,2025-03-22
S0311,Consistent Learner,2024-12-22
S0311,Top Performer,2025-04-12
S0312,Improved Significantly,2025-02-12
S0312,Consistent Learner,2025-01-02
S0312,Subject Star,2025-03-09
S0312,Subject Star,2024-12-22
S0313,Subject Star,2025-02-07
