user_id,role,activity,timestamp
P0221,student,view_report,2025-01-27 02:51:45.266072
P0875,teacher,view_dashboard,2025-04-18 20:41:06.760125
S0367,student,view_dashboard,2025-05-26 10:52:56.979088
S0375,student,attempt_quiz,2025-01-13 09:12:47.861528
P0384,student,login,2025-04-04 14:38:04.377142
S0583,student,update_profile,2025-01-27 11:09:32.574029
S0519,parent,view_dashboard,2025-02-09 02:29:09.512973
P0600,student,attempt_quiz,2025-03-23 22:06:33.430227
P0471,teacher,update_profile,2025-03-13 08:26:07.055033
P0849,parent,view_report,2025-01-15 20:20:01.885532
P0744,student,login,2025-01-16 11:38:09.403337
S0965,parent,chat_mentor,2025-05-01 18:12:19.046300
S0315,teacher,update_profile,2025-01-17 15:41:51.098560
P0219,parent,update_profile,2025-03-29 00:45:09.741993
S0569,parent,view_report,2025-01-04 21:48:14.903015
P0049,student,view_report,2025-05-19 05:59:35.060847
S0330,parent,view_report,2025-05-04 04:37:25.991772
S0408,student,view_report,2025-05-03 02:48:16.858065
P0096,student,login,2025-04-21 07:20:48.113976
S0450,teacher,chat_mentor,2025-05-11 20:16:34.240363
S0840,student,view_report,2025-01-24 10:43:54.394497
P0380,parent,view_dashboard,2025-04-07 10:40:22.115914
P0417,student,login,2025-01-11 05:48:06.421686
S0012,teacher,view_dashboard,2025-02-24 06:57:21.090657
P0502,student,update_profile,2025-03-09 21:24:17.782109
S0690,student,update_profile,2025-04-22 10:48:28.514170
S0812,student,login,2025-01-09 01:51:58.838708
S0008,teacher,view_report,2025-03-10 20:02:14.350039
S0096,teacher,view_dashboard,2025-04-25 20:42:02.698536
S0554,student,update_profile,2025-03-03 22:44:16.839026
P0812,student,update_profile,2025-02-13 15:56:55.947561
P0424,student,attempt_quiz,2025-04-06 21:41:02.911317
P0103,parent,view_dashboard,2025-04-06 21:57:56.535697
P0865,teacher,update_profile,2025-02-18 05:51:08.011493
S0351,parent,update_profile,2025-05-13 00:27:14.856244
P0542,parent,login,2025-05-19 14:54:55.360548
S0123,teacher,chat_mentor,2025-04-12 20:18:56.328601
P0064,parent,chat_mentor,2025-02-08 15:00:13.498768
S0336,teacher,chat_mentor,2025-01-07 02:52:47.743645
P0882,student,view_dashboard,2025-05-02 22:32:33.284281
S0364,parent,view_dashboard,2025-05-20 22:24:31.757985
P0777,parent,update_profile,2025-03-24 13:21:53.871500
P0799,teacher,view_report,2025-03-05 13:18:11.845592
P0588,student,view_dashboard,2025-03-21 02:46:43.445184
P0639,teacher,chat_mentor,2025-02-24 01:29:14.068259
P0814,parent,login,2025-02-15 09:26:47.284839
P0006,teacher,view_report,2025-04-17 16:45:16.140541
S0234,parent,update_profile,2025-03-16 06:42:33.508834
P0840,teacher,view_dashboard,2025-01-01 10:45:35.642302
S0815,teacher,login,2025-03-25 23:15:59.308944
S0508,teacher,update_profile,2025-01-16 15:36:07.612920
S0625,student,login,2025-05-02 13:20:57.836428
P0964,student,view_dashboard,2025-03-28 01:13:25.988481
S0318,parent,update_profile,2025-05-05 15:26:59.248274
P0591,student,view_dashboard,2025-03-28 13:37:43.952680
P0814,student,view_report,2025-02-15 13:59:07.608174
P0217,student,login,2025-04-25 12:14:57.462883
P0349,parent,update_profile,2025-02-23 17:32:40.547525
P0468,student,attempt_quiz,2025-05-15 03:55:00.649018
P0809,student,chat_mentor,2025-04-09 08:06:11.720674
P0480,parent,view_report,2025-03-03 11:22:43.032548
P0724,student,update_profile,2025-05-03 16:30:31.087806
S0977,teacher,view_report,2025-05-01 17:33:40.836438
P0891,parent,view_report,2025-04-02 02:18:23.927281
S0041,teacher,chat_mentor,2025-03-28 12:00:40.366030
T010,teacher,login,2025-01-24 19:40:01.475126
P0303,student,chat_mentor,2025-05-09 06:40:38.469308
P0518,parent,view_report,2025-02-26 16:54:01.471878
S0759,parent,view_dashboard,2025-01-17 14:23:33.191330
S0013,parent,update_profile,2025-01-01 05:43:37.810064
P0041,student,view_report,2025-05-18 12:33:56.560022
P0636,teacher,view_dashboard,2025-01-18 17:43:54.759302
P0548,student,update_profile,2025-01-18 02:49:42.821001
S0261,teacher,update_profile,2025-03-04 19:20:53.384173
S0911,teacher,login,2025-01-22 13:41:42.831663
S0944,parent,view_report,2025-01-29 18:29:51.941938
S0227,teacher,update_profile,2025-04-07 06:05:39.499786
S0859,parent,update_profile,2025-03-10 00:24:49.443045
P0288,student,update_profile,2025-03-20 15:44:39.222327
P0389,teacher,attempt_quiz,2025-05-25 01:00:27.323581
P0324,teacher,view_dashboard,2025-01-27 11:39:17.243268
P0475,parent,login,2025-03-04 04:33:33.677653
P0999,parent,view_report,2025-01-31 00:24:19.507975
S0309,parent,chat_mentor,2025-04-19 15:07:27.822471
S0772,teacher,view_report,2025-05-09 07:00:11.482920
P0923,teacher,update_profile,2025-01-16 04:32:10.521384
S0788,student,update_profile,2025-01-12 18:06:33.914226
P0752,teacher,update_profile,2025-01-03 05:47:53.207171
P0669,student,view_dashboard,2025-04-07 07:57:28.027250
S0663,teacher,view_dashboard,2025-02-20 18:11:29.739605
S0631,parent,update_profile,2025-03-04 16:59:36.003412
P0185,parent,view_dashboard,2025-01-18 02:05:54.124890
S0704,teacher,view_dashboard,2025-02-23 09:34:26.449395
P0204,teacher,view_report,2025-03-25 02:19:01.969451
S0892,parent,view_report,2025-02-14 07:17:01.430594
S0019,teacher,view_report,2025-02-17 11:40:26.399099
S0611,student,update_profile,2025-05-25 19:41:46.377053
P0735,parent,login,2025-02-25 02:24:30.183554
S0912,teacher,view_report,2025-02-18 12:39:13.342702
S0974,student,update_profile,2025-03-25 10:46:08.213506
S0844,teacher,update_profile,2025-04-04 02:32:14.800731
P0995,teacher,login,2025-02-26 22:17:35.952113
P0536,teacher,update_profile,2025-04-06 13:14:19.264683
P0238,teacher,chat_mentor,2025-05-11 13:05:40.537383
S0045,parent,login,2025-03-12 16:02:31.594500
P0104,parent,chat_mentor,2025-02-21 05:04:49.747095
S0629,parent,view_report,2025-05-08 20:04:54.773875
T020,teacher,update_profile,2025-04-26 15:13:00.194386
S0721,parent,update_profile,2025-04-22 20:37:28.470672
P0713,parent,attempt_quiz,2025-04-16 22:01:17.756757
S0831,teacher,login,2025-02-04 09:11:19.797784
P0923,parent,view_dashboard,2025-02-19 22:38:58.625034
P0614,parent,update_profile,2025-03-09 19:17:33.059613
P0705,teacher,login,2025-02-26 09:37:54.543987
S0842,teacher,view_dashboard,2025-05-06 01:19:21.583415
S0592,teacher,update_profile,2025-01-12 07:21:52.840472
P0903,parent,attempt_quiz,2025-01-19 15:45:10.810038
S0423,teacher,view_report,2025-01-29 18:34:47.157532
P0161,parent,update_profile,2025-01-05 19:02:30.463186
S0219,teacher,attempt_quiz,2025-01-24 18:43:24.037011
P0561,parent,update_profile,2025-01-03 21:10:58.152539
S0058,teacher,attempt_quiz,2025-01-03 04:41:51.908426
S0648,student,update_profile,2025-03-30 12:34:34.665278
S0342,parent,view_report,2025-01-31 14:20:57.327880
P0025,teacher,login,2025-01-24 12:11:38.473025
S0670,student,login,2025-01-06 07:04:54.736038
P0682,student,view_dashboard,2025-01-11 18:35:13.303730
S0817,student,chat_mentor,2025-04-18 15:35:23.910309
S0081,teacher,chat_mentor,2025-03-06 15:42:07.347119
S0594,parent,update_profile,2025-03-23 14:17:19.135084
P0817,student,login,2025-02-09 22:34:52.164267
P0691,parent,view_dashboard,2025-03-21 04:48:35.165413
S0555,parent,attempt_quiz,2025-04-06 18:08:04.146983
S0735,parent,login,2025-02-23 02:59:42.661200
P0548,student,login,2025-05-08 23:38:25.678082
P0110,parent,update_profile,2025-03-28 08:51:45.091817
P0108,student,view_report,2025-05-09 06:09:05.109793
P0618,student,attempt_quiz,2025-01-09 08:38:21.243404
S0989,teacher,view_report,2025-01-19 04:06:16.127357
P0639,parent,update_profile,2025-04-18 05:05:43.074319
S0486,parent,update_profile,2025-04-11 08:58:02.148005
P0480,teacher,attempt_quiz,2025-05-21 11:05:55.836968
P0677,parent,login,2025-05-23 13:05:16.454435
P0104,teacher,chat_mentor,2025-05-20 11:38:35.943158
P0986,student,login,2025-05-21 11:09:38.459220
S0306,teacher,attempt_quiz,2025-02-27 03:31:16.887065
P0845,student,login,2025-04-02 09:33:11.589187
S0002,student,login,2025-01-12 09:54:13.243317
P0362,teacher,view_report,2025-04-02 03:01:42.819648
S0800,parent,chat_mentor,2025-02-02 22:20:17.209941
S0209,parent,update_profile,2025-03-01 17:32:19.224018
S0729,parent,view_dashboard,2025-01-02 14:10:06.397801
S0036,teacher,chat_mentor,2025-04-04 23:22:37.059569
S0600,student,update_profile,2025-01-23 02:24:09.118851
S0535,parent,view_dashboard,2025-01-29 14:00:41.532186
P0661,teacher,update_profile,2025-04-20 05:21:14.473545
P0332,teacher,chat_mentor,2025-03-15 21:12:21.659935
S0920,parent,login,2025-01-06 08:08:41.031106
T030,teacher,view_report,2025-05-06 18:44:04.684671
P0839,student,view_report,2025-03-24 01:22:30.846517
S0243,parent,chat_mentor,2025-04-19 12:13:54.673819
S0332,teacher,view_report,2025-02-03 05:36:07.982155
P0616,student,login,2025-03-18 05:49:43.159367
S0232,parent,view_dashboard,2025-03-16 21:05:25.614507
S0876,teacher,view_report,2025-01-27 15:06:24.033130
S0252,student,view_dashboard,2025-02-18 05:57:48.528239
S0556,teacher,attempt_quiz,2025-05-25 10:13:27.929075
P0915,teacher,view_dashboard,2025-04-12 04:07:00.893958
P0202,parent,login,2025-01-19 18:43:54.431798
S0806,teacher,attempt_quiz,2025-01-02 04:28:22.655453
P0333,teacher,chat_mentor,2025-01-09 01:02:11.080513
P0115,teacher,attempt_quiz,2025-03-27 10:24:22.147172
S0338,teacher,login,2025-01-14 13:07:44.902140
S0774,student,view_dashboard,2025-01-29 13:05:26.289768
S0240,teacher,attempt_quiz,2025-04-30 17:54:47.567966
P0222,parent,chat_mentor,2025-02-28 08:27:31.456213
P0757,teacher,view_dashboard,2025-01-26 07:17:48.358835
S0646,teacher,view_dashboard,2025-04-29 20:56:20.422881
S0378,student,login,2025-01-21 11:56:05.506995
P0218,student,attempt_quiz,2025-03-06 04:32:43.734894
S0484,student,view_report,2025-03-24 18:08:13.081914
P0297,parent,attempt_quiz,2025-02-15 16:35:16.332855
S0901,student,attempt_quiz,2025-03-18 01:40:01.287789
T022,teacher,chat_mentor,2025-05-10 03:10:04.140110
P0815,teacher,attempt_quiz,2025-02-18 15:47:11.326242
P0079,teacher,view_report,2025-01-07 21:49:02.661840
P0579,teacher,attempt_quiz,2025-01-21 03:43:37.798561
P0194,student,update_profile,2025-04-30 20:31:17.810792
S0896,teacher,view_dashboard,2025-04-10 13:53:07.440766
S0198,student,update_profile,2025-04-17 11:36:10.930179
S0462,teacher,login,2025-04-22 22:30:50.369877
T002,student,view_dashboard,2025-04-08 11:34:02.687294
S0589,teacher,view_report,2025-01-22 01:27:22.258728
S0713,student,login,2025-03-14 17:26:14.996177
S0341,parent,update_profile,2025-04-13 04:21:49.813076
S0116,student,view_report,2025-04-15 13:41:42.755241
S0511,teacher,view_dashboard,2025-01-31 06:05:43.867468
P0319,student,login,2025-04-20 08:56:43.220471
P0876,student,view_report,2025-04-13 05:42:06.194960
P0566,teacher,view_dashboard,2025-01-07 10:23:30.968666
P0861,parent,view_dashboard,2025-02-09 03:47:18.034319
P0268,teacher,chat_mentor,2025-05-06 22:29:56.093535
S0322,teacher,attempt_quiz,2025-03-06 10:06:45.037603
P0068,parent,update_profile,2025-01-15 21:45:16.502758
P0469,student,update_profile,2025-05-16 13:21:28.525028
S0710,parent,attempt_quiz,2025-05-18 00:31:08.371713
P0429,parent,attempt_quiz,2025-01-10 21:18:20.545390
P0105,teacher,view_dashboard,2025-03-08 03:34:57.104176
S0371,parent,view_report,2025-04-08 18:08:25.896366
S0626,student,view_report,2025-05-09 08:34:26.715394
P0694,teacher,view_dashboard,2025-04-11 10:27:42.591714
P0430,teacher,login,2025-04-14 08:47:17.973344
S0832,student,update_profile,2025-04-03 04:03:57.339642
S0672,teacher,attempt_quiz,2025-01-25 08:19:46.776463
P0230,student,chat_mentor,2025-02-23 06:36:39.916847
S0137,student,attempt_quiz,2025-04-05 16:37:59.925334
P0847,student,update_profile,2025-01-23 10:41:59.814792
P0715,parent,login,2025-04-10 17:37:51.587633
S0744,teacher,update_profile,2025-01-01 11:17:23.754039
S0190,teacher,chat_mentor,2025-03-12 03:11:34.630001
S0931,teacher,attempt_quiz,2025-02-07 09:00:18.935613
S0966,student,attempt_quiz,2025-05-18 01:44:32.870236
P0278,student,attempt_quiz,2025-04-20 23:28:33.225035
P0552,student,attempt_quiz,2025-03-03 22:12:49.040672
S0898,parent,view_report,2025-01-17 10:45:40.124914
P0493,parent,attempt_quiz,2025-04-30 02:59:51.298887
S0230,teacher,login,2025-01-31 20:02:34.155946
S0730,parent,attempt_quiz,2025-05-08 09:09:42.968783
P0409,parent,chat_mentor,2025-02-02 15:09:25.691122
S0409,teacher,attempt_quiz,2025-02-18 12:06:29.026369
P0706,parent,view_dashboard,2025-02-20 22:56:39.006346
S0076,teacher,view_dashboard,2025-03-13 22:11:45.405422
T001,parent,update_profile,2025-02-05 10:22:01.323870
S0063,student,view_dashboard,2025-01-19 21:18:20.955388
S0256,parent,view_dashboard,2025-03-14 04:53:39.881167
S0863,student,login,2025-03-02 13:00:59.158247
P0380,student,view_dashboard,2025-05-08 15:51:09.652576
P0661,parent,update_profile,2025-02-17 21:40:44.076082
P0851,parent,view_dashboard,2025-03-17 23:35:12.786602
S0875,student,update_profile,2025-05-06 04:48:20.009221
S0972,parent,update_profile,2025-02-20 15:01:52.062583
P0792,student,update_profile,2025-05-26 14:22:34.894993
S0140,teacher,view_dashboard,2025-01-03 06:46:48.736096
S0983,parent,chat_mentor,2025-02-23 03:17:25.546430
S0403,student,attempt_quiz,2025-01-08 10:42:26.591702
P0665,parent,chat_mentor,2025-02-20 04:35:20.441643
S0377,teacher,view_report,2025-05-02 07:23:00.316991
S0129,teacher,view_dashboard,2025-01-20 02:55:02.345264
S0251,teacher,view_report,2025-04-21 23:34:56.801306
S0627,teacher,attempt_quiz,2025-04-10 14:57:00.068334
P0674,parent,view_dashboard,2025-01-17 15:37:36.868777
P0868,teacher,view_report,2025-03-07 18:49:14.438629
S0464,teacher,update_profile,2025-05-25 11:33:22.881763
S0103,student,update_profile,2025-03-24 18:03:55.425923
P0127,student,attempt_quiz,2025-03-31 18:54:54.737935
S0871,parent,chat_mentor,2025-01-20 06:58:43.534994
S0386,teacher,attempt_quiz,2025-03-17 04:23:19.925643
P0751,teacher,chat_mentor,2025-01-12 23:58:08.669924
S0180,parent,chat_mentor,2025-01-13 04:29:02.905610
S0907,parent,chat_mentor,2025-03-04 07:18:01.954933
P0882,student,update_profile,2025-04-18 21:46:09.086007
P0627,teacher,update_profile,2025-01-11 10:52:19.452380
P0880,student,attempt_quiz,2025-03-21 02:35:50.070631
S0460,student,chat_mentor,2025-03-27 23:08:54.140551
S0280,parent,update_profile,2025-05-10 09:16:58.773815
P0149,teacher,chat_mentor,2025-03-11 18:30:53.410862
P0259,teacher,attempt_quiz,2025-02-02 17:50:12.291465
P0960,teacher,login,2025-02-07 00:53:49.254220
P0219,parent,update_profile,2025-01-03 22:47:03.464194
P0170,student,view_report,2025-05-10 20:45:51.254676
S0076,student,login,2025-03-14 12:16:22.560652
P0061,parent,update_profile,2025-03-14 04:06:46.265817
S0697,teacher,view_dashboard,2025-04-16 13:29:49.819008
P0153,student,update_profile,2025-04-10 04:02:43.123172
P0826,student,view_report,2025-01-13 06:09:58.888128
P0422,teacher,view_dashboard,2025-04-04 04:44:12.007503
S0195,parent,login,2025-05-16 20:59:40.490945
P0077,parent,chat_mentor,2025-04-10 22:04:59.240101
P0329,parent,attempt_quiz,2025-03-20 06:12:49.066107
P0823,teacher,view_dashboard,2025-01-12 14:43:00.632060
P0303,teacher,chat_mentor,2025-05-21 12:14:11.274208
S0568,parent,update_profile,2025-04-22 11:34:08.812164
P0561,parent,attempt_quiz,2025-05-20 21:58:32.598763
P0239,parent,update_profile,2025-01-08 12:35:41.916473
P0454,teacher,update_profile,2025-04-02 13:00:52.332603
S0760,teacher,view_dashboard,2025-03-02 09:31:36.783906
P0120,teacher,chat_mentor,2025-02-19 18:51:11.475193
S0673,parent,view_report,2025-03-10 09:54:00.425472
P0140,teacher,update_profile,2025-04-20 16:39:43.034284
S0259,parent,view_report,2025-04-09 00:33:56.937647
S0228,parent,login,2025-02-13 23:30:41.057224
S0367,student,login,2025-01-17 20:17:13.211315
S0904,parent,update_profile,2025-05-06 10:06:30.707248
S0948,parent,update_profile,2025-01-02 14:49:50.146799
P0218,parent,view_report,2025-05-12 19:24:04.654569
P0703,parent,login,2025-01-31 07:43:27.936191
P0650,student,attempt_quiz,2025-01-20 05:24:53.874584
P0054,parent,view_dashboard,2025-03-22 07:25:50.688286
P0280,parent,chat_mentor,2025-03-31 05:49:09.379696
P0811,student,chat_mentor,2025-03-07 22:24:19.565445
S0030,teacher,update_profile,2025-03-23 20:31:05.897570
P0054,teacher,attempt_quiz,2025-03-22 06:23:37.780664
P0866,teacher,login,2025-01-12 15:20:33.957178
P0588,teacher,view_dashboard,2025-04-19 12:14:05.694257
S0872,teacher,view_dashboard,2025-04-22 05:43:55.221975
P0042,teacher,update_profile,2025-05-11 21:06:01.503247
S0215,student,view_dashboard,2025-03-19 12:28:19.778153
P0458,student,view_report,2025-03-28 01:27:21.702585
S0061,student,update_profile,2025-05-05 22:29:19.206331
T030,teacher,chat_mentor,2025-01-18 04:25:28.745110
P0709,parent,login,2025-04-13 07:59:14.513362
P0558,student,update_profile,2025-05-10 04:23:33.321222
S0504,parent,chat_mentor,2025-01-15 01:34:56.137059
P0679,parent,login,2025-01-21 22:00:54.505519
S0564,teacher,update_profile,2025-03-20 01:46:11.668270
S0024,student,view_report,2025-04-01 12:34:31.248624
P0599,parent,view_report,2025-03-01 20:45:30.013499
P0848,parent,update_profile,2025-05-11 17:36:58.699309
P0261,student,login,2025-03-14 17:53:37.131704
S0912,teacher,update_profile,2025-01-19 01:07:51.502295
S0097,teacher,attempt_quiz,2025-01-20 11:32:22.384819
S0303,parent,chat_mentor,2025-03-23 23:15:26.248974
P0864,teacher,update_profile,2025-03-14 21:21:38.139009
S0426,student,attempt_quiz,2025-03-27 06:45:23.160794
S0184,parent,view_report,2025-04-05 00:00:27.303300
S0642,parent,update_profile,2025-03-25 00:12:32.467642
P0073,student,view_report,2025-04-19 11:03:44.116534
S0952,parent,login,2025-02-08 07:36:56.348283
P0545,parent,attempt_quiz,2025-03-22 08:18:17.031366
S0400,student,view_report,2025-03-26 19:03:02.080469
S0809,student,view_report,2025-04-10 00:05:37.963976
P0495,student,login,2025-05-03 14:58:25.678099
P0149,student,update_profile,2025-03-21 12:18:22.739053
S0164,student,view_dashboard,2025-03-19 03:53:34.318260
P0934,parent,view_dashboard,2025-03-29 14:43:03.226512
P0717,parent,chat_mentor,2025-01-15 14:29:38.865943
S0630,student,view_report,2025-02-03 06:08:58.726372
P0744,teacher,attempt_quiz,2025-03-04 02:39:57.448620
S0249,student,view_report,2025-04-23 19:26:14.419901
S0874,student,update_profile,2025-05-16 01:03:56.459958
S0121,parent,update_profile,2025-05-17 12:57:17.439828
S0672,parent,login,2025-03-14 16:01:10.810881
P0723,parent,view_report,2025-02-06 11:06:51.792312
S0252,student,attempt_quiz,2025-02-05 18:19:15.087070
S0672,student,view_dashboard,2025-04-09 05:56:07.730080
S0614,student,view_report,2025-02-25 21:44:51.879601
S0945,student,chat_mentor,2025-03-04 18:29:26.943583
S0143,teacher,view_report,2025-04-18 05:00:51.057317
P0599,parent,chat_mentor,2025-05-08 15:02:54.400044
S0422,teacher,chat_mentor,2025-01-28 08:44:52.620229
S0287,teacher,login,2025-02-19 17:01:46.456214
S0445,parent,attempt_quiz,2025-02-18 19:56:32.917877
P0014,parent,update_profile,2025-02-21 14:43:36.746798
S0822,parent,view_dashboard,2025-05-03 09:25:35.630900
S0429,teacher,view_dashboard,2025-02-22 02:29:46.587223
P0606,parent,login,2025-02-18 08:09:04.324055
P0413,student,view_report,2025-02-21 13:17:27.124655
S0684,parent,attempt_quiz,2025-05-24 10:13:54.549833
P0968,teacher,login,2025-05-14 10:59:04.722826
S0752,parent,attempt_quiz,2025-04-29 02:59:41.330853
S0923,parent,view_dashboard,2025-01-23 10:34:44.411023
S0177,parent,attempt_quiz,2025-01-19 00:48:34.235933
P0733,teacher,chat_mentor,2025-04-27 11:09:46.504917
S0491,parent,chat_mentor,2025-02-03 11:00:47.983070
P0134,student,attempt_quiz,2025-04-02 06:58:37.171325
S0711,student,login,2025-04-20 15:19:38.683611
S0778,teacher,view_dashboard,2025-04-28 21:00:25.318146
S0805,parent,update_profile,2025-01-16 17:47:32.282865
S0088,parent,view_dashboard,2025-01-19 16:42:24.283249
P0687,parent,view_dashboard,2025-02-03 04:58:13.623807
S0966,teacher,view_dashboard,2025-05-17 06:20:13.393942
S0936,student,view_dashboard,2025-01-15 05:15:59.658879
P0086,parent,chat_mentor,2025-05-10 16:07:22.049656
P0539,parent,chat_mentor,2025-04-16 07:28:55.860007
S0840,student,attempt_quiz,2025-05-07 17:45:42.652414
P0843,student,attempt_quiz,2025-03-11 16:14:27.382114
S0363,parent,login,2025-04-14 18:39:12.408923
S0774,teacher,attempt_quiz,2025-05-08 04:35:20.294405
S0141,parent,view_report,2025-02-18 15:39:51.598566
S0845,student,login,2025-05-07 12:52:10.506356
P0800,student,update_profile,2025-04-01 14:17:18.680548
P0397,teacher,attempt_quiz,2025-04-19 09:04:07.251921
P0270,student,attempt_quiz,2025-05-04 15:09:26.709652
P0067,parent,attempt_quiz,2025-01-29 22:48:46.010210
S0839,teacher,login,2025-02-27 23:33:17.362516
P0968,teacher,login,2025-05-01 23:57:32.570809
S0077,student,view_report,2025-04-05 20:07:20.602151
P0118,parent,login,2025-01-27 13:25:53.002519
S0278,teacher,view_dashboard,2025-05-08 11:34:49.464094
S0017,teacher,view_dashboard,2025-01-01 04:22:09.504711
S0997,teacher,view_dashboard,2025-05-02 20:50:33.379116
S0865,student,update_profile,2025-03-01 20:09:06.684350
P0757,student,attempt_quiz,2025-02-05 23:31:36.556455
P0268,teacher,view_report,2025-04-03 08:37:52.435946
S0555,teacher,login,2025-02-10 10:54:13.585158
P0054,parent,view_dashboard,2025-04-07 22:57:25.890497
P0183,teacher,view_dashboard,2025-04-22 11:49:13.175571
P0868,student,update_profile,2025-04-13 09:22:49.553303
S0844,parent,login,2025-03-26 08:56:07.450647
S0857,teacher,chat_mentor,2025-01-11 11:36:09.514551
S0533,parent,view_report,2025-02-05 22:06:20.473197
P0732,parent,view_report,2025-02-01 20:20:39.317378
P0947,parent,login,2025-04-12 09:11:58.549518
P0137,student,view_dashboard,2025-01-10 15:00:20.164999
P0006,parent,attempt_quiz,2025-05-09 15:57:53.343329
P0893,parent,update_profile,2025-02-18 05:40:06.758126
S0931,teacher,attempt_quiz,2025-05-14 15:41:01.681713
P0516,teacher,login,2025-02-08 01:48:20.633964
P0723,parent,view_dashboard,2025-03-30 10:21:39.881875
P0673,teacher,update_profile,2025-05-05 01:38:55.125042
P0504,teacher,view_dashboard,2025-01-27 09:13:14.130390
P0703,teacher,login,2025-05-22 08:18:11.073372
S0929,teacher,view_dashboard,2025-04-24 00:08:23.446493
S0044,parent,chat_mentor,2025-05-17 09:59:03.913620
P0621,parent,update_profile,2025-02-25 15:32:05.264061
P0988,student,login,2025-04-10 22:39:46.107912
P0522,teacher,attempt_quiz,2025-01-06 20:54:13.313169
